eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
10.79,16.17682817,42,0.008694511,0.118457034,4.2230577,-0.013847791,39.096703,0.025365710258483887,1,2048,48.41888011,2048
9.37,16.833028260000003,420,0.007015813,0.09506836,4.18288,-0.010545209,41.406937,0.08699089288711548,2,4096,53.29005333400001,4096
8.93,17.04216941,391,0.007870851,0.107666016,4.132854,-0.012700804,39.557167,0.15718531608581543,3,6144,58.524214274,6144
7.99,16.89466114,400,0.0069370284,0.0836914,4.0752625,-0.009679434,38.1283,0.1951318383216858,4,8192,63.640032836,8192
8.84,17.40781098,456,0.007385918,0.09394531,4.032693,-0.009349237,37.520145,0.22856229543685913,5,10240,68.12915004300001,10240
8.12,17.521127220000004,459,0.0065521747,0.07094727,3.9787974,-0.008251487,34.487003,0.29173964262008667,6,12288,72.589999342,12288
7.85,17.5683247,413,0.008552967,0.11186524,3.909615,-0.01244458,32.661354,0.351720929145813,7,14336,77.544802218,14336
7.87,17.95834074,386,0.007082279,0.09121094,3.853461,-0.011337218,28.744099,0.42436230182647705,8,16384,82.85081811,16384
7.8,17.62423923,428,0.005648545,0.057910156,3.8023026,-0.0073553957,25.512508,0.47404593229293823,9,18432,87.636197146,18432
7.98,18.297026400000004,429,0.0069857114,0.0809082,3.7508686,-0.008730729,23.751953,0.5228961408138275,10,20480,92.405157809,20480
8.02,18.569604549999998,426,0.005655675,0.06645508,3.7035363,-0.0074972166,20.98313,0.5861913561820984,11,22528,97.209177158,22528
7.53,18.37810408,437,0.005966328,0.058300782,3.641295,-0.00865666,18.35324,0.6234129369258881,12,24576,101.892793654,24576
8.39,18.628833670000002,447,0.006509726,0.0769043,3.5697224,-0.008502295,16.989557,0.6394518315792084,13,26624,106.468686492,26624
8.26,19.038845550000005,446,0.0061551942,0.06889649,3.511619,-0.0092070345,16.693325,0.651396632194519,14,28672,111.05220270400001,28672
9.41,19.82854232,437,0.00857331,0.107666016,3.436779,-0.0127658,15.708295,0.6680772304534912,15,30720,115.738177666,30720
9.38,20.04538788,358,0.00955207,0.11308594,3.3557117,-0.015004626,14.979675,0.7003011703491211,16,32768,121.44795854000002,32768
9.49,20.248401460000004,447,0.009780436,0.12431641,3.2864335,-0.014463427,14.675615,0.7006765007972717,17,34816,126.02542555000001,34816
13.96,23.20444828,473,0.009375931,0.12880859,3.2309384,-0.014836401,16.123045,0.6769447326660156,18,36864,130.351556204,36864
17.67,26.80901542,466,0.010030595,0.13916016,3.1899648,-0.015631918,22.573345,0.6305496096611023,19,38912,134.73920930399998,38912
21.82,29.10253395,476,0.006667521,0.0828125,3.1583676,-0.0093820235,25.837162,0.5707156658172607,20,40960,139.034716471,40960
26.03,31.337509699999995,472,0.008442149,0.11625977,3.120551,-0.012931098,27.827011,0.47609156370162964,21,43008,143.37196246399998,43008
28.05,35.024416190000004,458,0.0068469783,0.08295898,3.078075,-0.0121837435,35.655693,0.4580512046813965,22,45056,147.841275758,45056
32.46,38.90600072,481,0.008862097,0.11118164,3.0195677,-0.013106513,35.345634,0.5097383558750153,23,47104,152.09391483099998,47104
31.02,38.320141469999996,479,0.009047647,0.11079101,2.946598,-0.01537201,30.596018,0.5398325324058533,24,49152,156.36433269,49152
33.1,40.56399012,480,0.010511091,0.13232422,2.9003897,-0.014298758,36.74465,0.5126578509807587,25,51200,160.62338021099998,51200
37.8,45.504145320000006,482,0.009136608,0.123730466,2.8641114,-0.012267745,39.95112,0.53110072016716,26,53248,164.869295327,53248
40.88,49.317078330000015,474,0.006611768,0.07836914,2.8243482,-0.0047750673,40.79136,0.5799229741096497,27,55296,169.187594639,55296
41.38,51.16282087,484,0.0068015703,0.08867188,2.7958016,-0.0053255935,42.956184,0.5781948864459991,28,57344,173.417648639,57344
40.34,51.519675050000004,457,0.006988802,0.08696289,2.7696,-0.0062136776,40.615105,0.6153936386108398,29,59392,177.89567398999998,59392
39.75,51.9310364,450,0.007443269,0.09536133,2.7079346,-0.008340762,40.65198,0.6272327899932861,30,61440,182.437792546,61440
40.72,54.16826508,460,0.0074620605,0.095214844,2.6486926,-0.005352468,44.04339,0.641099750995636,31,63488,186.88293715199998,63488
41.79,55.958003600000005,466,0.006484476,0.077978514,2.6173878,-0.0041204225,42.896954,0.6291954815387726,32,65536,191.27528855399999,65536
43.18,57.07857336,481,0.007359249,0.09169922,2.5924306,-0.005766687,39.93122,0.646215945482254,33,67584,195.52931120399998,67584
43.26,56.904331199999994,475,0.006474643,0.07543945,2.5535502,-0.0061289384,37.971447,0.6852395832538605,34,69632,199.840783184,69632
44.1,58.52826149000001,453,0.006943463,0.0871582,2.5150974,-0.0050384607,42.245163,0.6888542473316193,35,71680,204.356546748,71680
44.66,59.918924239999996,433,0.0066776304,0.080566406,2.4921978,-0.006177366,41.68185,0.6959378719329834,36,73728,209.08412871,73728
44.54,59.710456230000005,453,0.007330791,0.092480466,2.4654493,-0.0062784767,36.84533,0.6952483057975769,37,75776,213.602853267,75776
42.72,58.27614509000001,463,0.0061704335,0.07338867,2.4273286,-0.006388703,37.69169,0.7154713273048401,38,77824,218.02099098,77824
42.27,58.54100695,505,0.008014349,0.10073242,2.3977873,-0.0053825127,36.60163,0.724251002073288,39,79872,222.072755928,79872
45.15,61.992063949999995,514,0.005817021,0.06943359,2.376773,-0.004880109,40.675083,0.7336484789848328,40,81920,226.056768488,81920
46.0,62.82248589999999,501,0.008949196,0.115722656,2.3488402,-0.010081729,35.29213,0.7345412373542786,41,83968,230.14292228099998,83968
46.12,63.054459130000005,489,0.008256026,0.10869141,2.3103752,-0.0058689294,39.72331,0.7273169159889221,42,86016,234.32859647799998,86016
46.31,63.898603640000005,459,0.0062757535,0.07558594,2.2761893,-0.0055971993,37.538506,0.7442129254341125,43,88064,238.784210461,88064
46.82,64.7624957,502,0.0076451823,0.09472656,2.253658,-0.00489144,37.77495,0.7673864960670471,44,90112,242.863517176,90112
47.18,65.46721926000001,502,0.0071886266,0.09492187,2.2463386,-0.004545478,38.428673,0.76090107858181,45,92160,246.941887646,92160
49.43,67.74761302,504,0.0063835504,0.076855466,2.2321622,-0.0062411884,38.932213,0.7779213041067123,46,94208,250.99989056299998,94208
50.55,69.09464796,493,0.008100995,0.109033205,2.219208,-0.009908315,37.167366,0.7672597765922546,47,96256,255.14715456000002,96256
52.93,70.32714822,490,0.0077177784,0.09897461,2.2069209,-0.008009553,38.019833,0.7565435171127319,48,98304,259.322279551,98304
54.08,72.01441089999999,502,0.0081103835,0.103320315,2.1935978,-0.00817073,39.08273,0.7758871614933014,49,100352,263.39506263500004,100352
57.5,75.96335468000001,487,0.0072074747,0.093603514,2.1905255,-0.006821723,41.063118,0.786642998456955,50,102400,267.60025846400004,102400
59.72,78.52007229,506,0.0084022125,0.11103515,2.1692452,-0.010046798,39.678226,0.7691207081079483,51,104448,271.643077881,104448
62.01,80.67843880000001,501,0.0062608207,0.07304688,2.1341364,-0.004193957,42.03484,0.7685373425483704,52,106496,275.72816682900003,106496
64.11,82.59836134000001,498,0.008062402,0.10180664,2.1071196,-0.0076986128,44.888954,0.766094982624054,53,108544,279.84100941400004,108544
65.45,85.27754056999999,499,0.008077453,0.1046875,2.0782237,-0.008186759,46.071404,0.7998652309179306,54,110592,283.93780438000005,110592
66.47,86.73107658,484,0.00741185,0.0894043,2.0437644,-0.008589302,46.088783,0.7648898512125015,55,112640,288.16478103000003,112640
65.45,87.05575097999997,457,0.009902088,0.13427734,2.01096,-0.0123415915,47.223522,0.8065409660339355,56,114688,292.644055052,114688
66.71,88.42977055,434,0.008716548,0.11811523,1.9832458,-0.009807889,46.9665,0.7820105105638504,57,116736,297.35861365,116736
68.17,90.88257917000001,469,0.0083966125,0.10893555,1.9591084,-0.003413622,51.090065,0.8213806301355362,58,118784,301.725894741,118784
70.96,93.73416371999998,513,0.010662341,0.14580078,1.9204433,-0.0094904285,45.58593,0.8232585340738297,59,120832,305.716100831,120832
74.33,97.29547481,498,0.008679133,0.11274414,1.878483,-0.0060068425,45.71712,0.8163502365350723,60,122880,309.824213628,122880
78.73,102.48311833,500,0.0071895393,0.09277344,1.8739636,-0.0060602603,55.97332,0.8270632028579712,61,124928,313.914281651,124928
