# {"t_start": 1597490725.952956, "env_id": "HopperBulletEnv-v0"} 
r,l,t
16.909439,6,2.984768
14.531137,8,3.22253
12.974953,17,3.79151
16.909332,6,3.981695
16.226023,9,4.354279
17.310417,8,4.675842
9.760685,11,5.102971
17.794834,9,5.535032
17.18433,12,6.195003
18.363354,10,6.618903
13.913406,6,6.850354
17.1453,6,7.078477
19.108664,8,7.466717
16.481881,10,7.865527
13.871825,6,8.125712
13.770263,14,8.800992
16.829171,6,9.028175
17.239537,9,9.535707
12.110774,9,9.956845
17.933804,9,10.332884
16.912047,18,11.083996
18.266253,8,11.438305
16.826209,21,12.342007
20.652678,12,12.857333
20.837469,14,13.418653
15.153168,6,13.668795
20.688994,7,13.960517
21.129284,18,14.865638
16.772603,6,15.267602
17.102445,6,15.552484
17.244611,8,15.869304
13.110908,10,16.292125
18.235637,9,16.696181
17.16186,9,17.12647
11.443704,17,17.849512
14.138483,5,18.063955
17.214794,7,18.365855
16.229411,13,18.955152
16.371586,9,19.334183
13.385435,18,20.094565
15.891896,12,20.617807
17.860833,6,20.878872
15.023376,9,21.288907
16.832921,8,21.67691
16.923717,8,22.00565
17.56884,7,22.374866
19.804568,7,22.779745
10.953555,10,23.239138
16.928095,9,23.622555
19.286454,16,24.397779
11.676484,20,25.307306
16.681404,12,25.818543
16.66366,16,26.511756
10.38293,13,27.073598
18.157261,13,27.612219
9.137837,6,27.869533
17.702003,10,28.329874
15.225321,9,28.777767
18.766361,10,29.281645
18.669363,13,29.848905
18.378164,13,30.41235
16.28537,8,30.756667
8.119627,10,31.371087
17.601929,10,31.842045
15.471148,7,32.130234
16.80403,9,32.531143
12.952261,9,32.916639
18.415256,9,33.336352
17.251572,10,33.7728
14.685996,7,34.104564
18.608137,11,35.301993
16.180161,8,35.987648
14.436022,11,36.563699
16.256821,6,36.935417
20.782262,14,37.567496
20.336626,12,38.099563
20.710956,15,38.787181
18.33565,15,39.486677
12.870348,17,40.246474
22.11217,21,41.122194
19.136339,12,41.65316
17.858887,10,42.116084
19.395055,7,42.397381
14.434359,8,42.732291
13.63451,9,43.124381
15.951047,8,43.448858
15.484953,8,43.770703
18.639807,15,44.377202
21.800601,17,45.128748
14.059114,19,45.917811
19.192966,9,46.278857
12.114319,11,46.763814
14.533456,19,47.529004
20.359995,11,47.96784
17.182669,6,48.311862
9.670724,9,48.331446
17.932331,7,48.346105
11.802875,14,48.376187
15.355216,20,48.415015
17.03409,10,48.436882
16.619154,9,48.455782
13.105696,11,48.477494
16.45152,7,48.490999
17.237747,10,48.512695
18.565413,11,48.532136
14.030078,10,48.562251
17.075553,10,48.580763
18.710871,17,48.621262
12.124046,12,48.642627
15.141385,5,48.652219
17.216606,6,48.663435
16.002734,10,48.680435
16.649492,14,48.704314
16.213599,11,48.723866
17.56782,11,48.744113
14.995554,19,48.77883
14.778798,8,48.793519
16.476892,15,48.820271
15.358737,9,48.836135
15.514703,13,48.860412
14.750646,8,48.875925
10.813306,20,48.911187
13.27668,8,48.925703
19.276336,21,48.964939
13.184929,6,48.976787
15.223405,8,48.991508
20.886768,14,49.016658
17.030488,20,49.055059
15.710151,8,49.071044
15.29027,6,49.083794
15.276017,6,49.095664
13.28278,10,49.115717
15.777783,6,49.128783
16.113056,9,49.146459
15.279785,8,49.161713
16.699801,6,49.173018
15.43865,12,49.194771
16.866284,10,49.21249
12.754775,6,49.223497
20.174808,23,49.264224
15.887802,7,49.277121
17.962349,7,49.290574
18.861207,9,49.306802
17.133491,7,49.319894
17.117599,9,49.338082
17.084306,14,49.363466
17.359003,21,49.40462
13.742963,9,49.421174
17.178339,11,49.440515
26.89554,19,49.481433
14.119659,6,49.492572
17.915245,11,49.514481
15.628808,9,49.532708
17.068106,12,49.557312
15.505477,6,49.570318
16.942899,11,49.591227
9.742516,9,49.60913
14.370436,12,49.631893
16.656651,10,49.650518
13.586248,10,49.67095
19.861016,12,49.693945
16.114836,10,49.712067
17.462611,11,49.73184
15.452874,8,49.747697
14.763827,9,49.763831
13.850332,7,49.777342
11.7189,13,49.800526
16.170516,6,49.812347
18.594174,9,49.828201
17.728237,17,49.863346
18.521595,25,49.919733
17.729934,8,49.935631
15.475075,6,49.946913
19.438874,8,49.961829
17.842551,11,49.982836
14.591806,13,50.007571
14.512421,9,50.024471
14.396869,14,50.04897
16.736743,14,50.074141
18.457806,10,50.093123
19.382815,13,50.118385
13.899791,8,50.133185
16.940539,17,50.164727
19.591251,10,50.184105
16.795016,7,50.197729
16.434963,10,50.21731
17.606585,7,50.230741
16.752459,9,50.252813
16.295635,14,50.291818
15.682365,6,50.305891
18.192961,22,51.20578
16.132625,11,51.225148
18.500063,9,51.242272
18.527884,7,51.254626
11.018323,15,51.282117
19.037726,11,51.301949
15.684539,6,51.31305
19.236912,9,51.330284
22.004845,16,51.362661
18.093414,6,51.374503
18.586733,6,51.385108
14.846901,6,51.396189
21.362916,7,51.409628
18.067183,6,51.421458
17.646091,11,51.441313
18.848152,9,51.458068
15.053704,9,51.474447
16.310981,10,51.493707
18.751896,7,51.508639
12.953055,14,51.539025
16.557469,8,51.554146
14.768266,9,51.57107
16.138539,5,51.58058
16.253895,9,51.599345
15.092793,10,51.618221
15.915139,5,51.627742
16.773373,11,51.650539
18.239452,12,51.672434
20.744269,18,51.706186
17.661265,9,51.723853
13.584485,15,51.752305
11.216472,18,51.784751
20.353629,7,51.798069
14.416093,17,51.827921
15.112878,10,51.846708
22.17194,16,51.875091
19.223778,10,51.895328
18.503035,9,51.913495
16.759447,11,51.93529
18.416655,15,51.964301
14.089564,12,51.988547
12.807725,12,52.01369
15.127596,12,52.038081
16.132113,11,52.059499
24.045933,15,52.085836
14.497213,11,52.106438
16.929821,7,52.119758
16.079983,11,52.144015
7.609126,15,52.176539
21.40239,13,52.201194
15.538166,6,52.212494
13.882304,12,52.233027
18.187762,11,52.25325
13.300106,12,52.275114
17.203257,17,52.305171
17.151225,6,52.318013
15.061712,9,52.336785
15.256993,9,52.354897
21.532737,10,52.375492
18.656126,7,52.391853
16.987414,8,52.420637
14.289985,7,52.440863
17.590255,8,52.456328
8.378204,10,52.476355
15.388726,11,52.50512
17.718406,10,52.529064
17.902457,9,52.547547
19.201331,8,52.563482
18.707924,7,52.577998
20.931275,8,52.593743
19.362494,6,52.605155
18.840193,7,52.619246
17.403601,12,52.640949
16.208338,6,52.653406
24.148857,15,52.681534
18.338997,9,52.698563
17.324602,6,52.710147
14.523296,13,52.734956
16.971706,13,52.760888
8.261539,13,52.78393
17.710849,8,52.798301
16.76378,6,52.80939
16.236001,9,52.825524
18.310663,8,52.839762
20.114678,12,52.861638
17.842433,8,52.876055
15.274038,5,52.885691
16.489942,23,52.925981
16.558367,6,52.937168
14.121761,15,52.963512
15.942218,7,52.977181
17.167881,6,52.989061
20.607192,24,53.042892
14.693546,7,53.059193
16.275335,7,53.076601
18.496651,6,53.089592
17.00391,8,53.104164
17.270251,6,53.115449
17.561694,12,53.137162
14.685144,7,53.150519
14.064119,5,53.161908
20.058602,14,53.192107
18.325729,12,53.217091
17.325886,9,53.233201
15.156717,5,53.242579
17.79689,8,53.257717
18.900364,12,53.280782
12.498357,7,53.294604
17.650102,7,53.307372
15.500817,7,53.32021
19.440162,7,53.332938
13.093706,16,53.360864
15.34265,8,53.374095
11.488356,6,53.384945
12.846364,5,53.394463
15.542005,5,53.404471
14.423667,12,53.425994
17.218935,6,53.437137
17.263855,8,53.453199
9.597082,15,53.484411
12.312213,12,53.512674
16.933751,6,53.525959
17.529924,13,53.550997
19.376841,10,53.570619
