eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
10.13,15.88789112,86,0.00884173,0.1140625,4.232968,-0.014958853,45.166298,-0.0350722074508667,1,2048,23.633538349,2048
10.12,16.763748109999998,939,0.0056187436,0.062402345,4.1980867,-0.0076089003,47.050507,0.00834190845489502,2,4096,25.813097371999998,4096
9.43,16.75608184,961,0.006890034,0.081933595,4.1674647,-0.011303427,43.44966,0.0532723069190979,3,6144,27.942465491,6144
8.45,16.75200513,949,0.006943011,0.083496094,4.1327634,-0.0092606,42.864693,0.12856918573379517,4,8192,30.098954978000002,8192
8.44,16.91366986,949,0.0067103966,0.07729492,4.0857353,-0.010132062,40.14364,0.18715602159500122,5,10240,32.256893268999995,10240
8.22,17.46647227,939,0.006154674,0.06953125,4.038992,-0.009323265,36.35891,0.23606562614440918,6,12288,34.437219217,12288
7.98,17.424533890000003,871,0.0080184275,0.09604492,3.9797778,-0.01059563,35.347557,0.29163694381713867,7,14336,36.786613104,14336
7.51,17.40702036,861,0.005206698,0.05605469,3.933431,-0.0064810067,31.568335,0.35865408182144165,8,16384,39.164295541,16384
7.41,17.21275823,930,0.0054715094,0.058886718,3.8915818,-0.006757293,27.261667,0.4364808201789856,9,18432,41.364549579,18432
7.2,17.3244833,941,0.005446003,0.05419922,3.831302,-0.006534432,23.270351,0.4997823238372803,10,20480,43.539978258,20480
7.46,17.71338788,930,0.007664826,0.09624024,3.7824752,-0.011618283,21.823673,0.5540679097175598,11,22528,45.740956574,22528
8.26,18.07685284,945,0.007297096,0.092285156,3.7252667,-0.011537402,18.07502,0.5871854424476624,12,24576,47.90771971,24576
8.2,18.604107720000002,944,0.005831485,0.06508789,3.6548722,-0.008203808,18.282932,0.6124212145805359,13,26624,50.077154472,26624
7.5,18.216996799999997,933,0.0064150193,0.06918945,3.5867686,-0.007414435,15.84225,0.6488444805145264,14,28672,52.271961501,28672
8.81,19.18807321,941,0.008731112,0.097314455,3.4909248,-0.014195511,15.245142,0.6649625897407532,15,30720,54.447224238,30720
9.07,19.816683510000004,939,0.010333906,0.13588867,3.4074416,-0.015499374,14.696352,0.6969844400882721,16,32768,56.627663024,32768
9.63,19.92107715,951,0.0065733404,0.079882815,3.3523903,-0.008889761,14.563799,0.6849412024021149,17,34816,58.77996102,34816
10.39,20.89509223,958,0.009550918,0.121679686,3.2694545,-0.014719071,16.433407,0.6692440807819366,18,36864,60.917229969999994,36864
