# {"t_start": 1597501001.101057, "env_id": "HopperBulletEnv-v0"} 
r,l,t
15.495044,11,0.979773
14.13115,7,1.137449
18.241864,12,1.396043
16.584442,11,1.634364
15.783228,15,1.964484
18.003352,16,2.32027
16.36808,5,2.432168
14.135868,5,2.540654
17.991081,14,2.849321
17.939621,7,3.006167
14.574229,6,3.139089
10.952492,12,3.40369
14.617807,14,3.710588
16.816278,9,3.909083
16.192873,8,4.091986
15.984611,7,4.245884
8.945427,18,4.64898
20.235026,12,4.912427
18.084131,7,5.07217
16.682347,8,5.250572
18.565445,17,5.629448
13.981541,8,5.804403
21.505787,20,6.249639
17.276279,13,6.53727
18.720929,21,7.019427
14.273344,18,7.500183
20.699777,10,7.721358
22.3718,20,8.174242
17.050839,6,8.307414
16.695451,7,8.461432
31.307372,28,9.077461
19.66613,9,9.275832
15.324904,9,9.471405
16.802173,9,9.668577
16.925998,11,9.909927
17.048147,8,10.087117
20.28367,12,10.350988
11.753551,14,10.661528
13.92976,10,10.88324
14.191326,8,11.064948
18.512818,18,11.464279
16.321945,9,11.66404
14.26936,5,11.773358
13.93124,8,11.948197
12.259095,11,12.191999
17.34692,9,12.390961
18.57183,12,12.656318
17.448171,11,12.897988
17.557587,9,13.099206
13.054408,16,13.452823
16.229056,9,13.650039
16.350238,7,13.802044
16.058337,8,13.975716
16.11793,10,14.196638
17.529161,12,14.458901
20.653787,21,14.926881
10.553563,13,15.220878
18.60152,15,15.55229
12.415316,10,15.77231
18.143883,12,16.037995
16.465185,11,16.282666
15.260726,11,16.521689
12.065283,13,16.807241
18.90564,18,17.206347
14.837037,11,17.446107
14.676638,8,17.620247
12.192858,11,17.861258
17.541948,8,18.038949
18.059054,7,18.194701
17.660961,7,18.350607
17.958981,7,18.503196
14.626337,14,18.810538
17.701076,13,19.101096
16.664204,9,19.299738
16.091875,7,19.458148
18.751709,6,19.587986
8.3577,12,19.851608
25.623886,14,20.159197
21.835527,10,20.378369
11.212899,8,20.552615
19.939499,9,20.7498
15.491293,6,20.88117
15.214169,8,21.059846
15.4397,10,21.27928
16.104995,8,21.454394
19.883605,12,21.717333
19.588218,10,21.936228
13.486182,22,22.422008
16.691612,6,22.553115
14.537694,9,22.751893
18.876137,8,22.940044
11.972513,7,23.056488
17.043351,14,23.074737
14.63014,11,23.088371
13.253484,11,23.098705
13.647037,8,23.106948
20.452647,10,23.115903
16.485697,9,23.124147
16.001734,14,23.136182
15.183174,10,23.144686
23.63536,22,23.164313
14.774688,10,23.17497
13.599261,6,23.180394
11.346236,14,23.193498
15.874815,9,23.20149
18.965936,7,23.207668
10.469633,10,23.21628
17.094382,6,23.221755
16.979659,11,23.231392
16.991949,19,23.247666
19.286834,11,23.257158
15.499888,7,23.263346
16.717086,7,23.269949
12.81907,14,23.282031
16.53809,11,23.29133
15.033393,11,23.301031
16.473431,8,23.308118
15.546863,11,23.317788
18.386855,10,23.326362
11.976726,5,23.330775
11.721489,10,23.339372
17.231776,9,23.347193
16.994576,6,23.352671
17.834269,6,23.357826
18.050541,15,23.370706
15.146347,5,23.375227
18.878969,8,23.382167
16.348241,10,23.390669
16.611221,9,23.398593
17.20173,5,23.403445
16.125654,8,23.410752
13.656511,10,23.419696
14.181433,6,23.424904
15.839472,6,23.430183
15.771747,9,23.437813
15.003537,7,23.443997
15.852486,6,23.449581
16.310484,8,23.456439
19.821512,10,23.466139
15.927474,7,23.472411
15.187543,8,23.479823
14.670185,11,23.489641
13.360224,18,23.504705
20.426036,15,23.516992
15.87075,5,23.521721
16.021333,7,23.527787
14.513279,14,23.53971
15.42372,15,23.552064
13.465913,11,23.561198
15.513985,7,23.56786
10.647272,14,23.579636
18.384153,15,23.592292
15.721995,7,23.598382
16.218772,6,23.603988
16.929923,8,23.611289
16.068885,14,23.62349
13.460158,11,23.632759
17.417268,14,23.644399
16.65224,6,23.649781
9.350211,8,23.656842
19.117201,10,23.665539
16.170868,8,23.672484
18.654979,17,23.686669
12.506473,10,23.695448
19.880817,15,23.708596
17.453957,8,23.715323
16.95781,8,23.722539
17.207433,9,23.730815
10.314251,8,23.737711
