# {"t_start": 1596309709.3675268, "env_id": "Hopper-v2"} 
r,l,t
30.963714,36,11.991822
9.501248,21,17.425618
7.757453,12,20.742606
5.44591,9,22.781299
16.80936,20,27.561627
5.200189,8,28.998788
13.48737,16,32.803961
14.13181,14,35.827665
37.112637,35,44.609412
14.755745,19,49.331754
16.155805,16,53.01473
15.772986,28,60.041097
5.139261,11,63.003231
11.620216,21,68.633197
20.886536,20,73.80581
9.548519,15,77.606575
8.372068,17,82.17046
3.155061,8,84.295587
9.745641,15,88.363953
16.907109,17,92.887833
5.978317,8,95.081281
5.533543,8,96.860717
11.293882,14,100.683608
6.803977,17,105.077263
10.256636,12,108.486475
8.534827,10,110.819746
10.814734,14,114.465536
15.355395,19,118.75871
6.379508,11,121.30208
35.090958,27,128.020441
132.726086,77,146.576839
6.383307,17,150.856023
17.998459,17,154.981482
9.029354,13,158.37195
9.889632,15,162.188524
8.711172,19,166.502315
11.799276,13,168.995038
8.483184,16,172.634873
8.168964,12,175.62271
10.179263,16,179.798563
10.212662,15,183.683197
8.83356,11,186.124282
8.481454,11,188.846282
6.371753,9,191.115843
8.547981,10,193.586994
11.573936,17,198.120857
21.459278,47,208.927259
8.461995,12,212.232667
14.331358,28,219.911645
11.861771,22,225.153897
66.798243,47,236.910839
11.422938,25,243.451857
10.671207,26,250.478703
4.290629,13,252.905601
5.881151,8,253.055169
18.395618,20,253.406215
26.853673,25,253.955848
64.283888,43,254.882629
14.134603,23,255.203382
8.786555,13,255.452116
37.19628,43,256.248422
7.429521,13,256.704389
10.408061,14,257.038198
280.475486,124,259.564091
8.871694,11,259.714123
9.829012,13,259.889233
8.890532,14,260.163773
10.41978,14,260.499521
40.167815,35,261.319647
11.117102,12,261.623199
5.108532,7,261.748046
27.516139,20,262.070947
17.125143,34,262.976465
17.104081,29,263.808763
14.300838,18,264.172671
14.556838,16,264.549859
24.082259,22,264.986224
9.198198,13,265.26283
14.821687,21,265.78336
10.124714,12,266.029349
14.300403,18,266.415765
6.073759,9,266.631767
12.711291,16,266.968883
5.530327,9,267.16858
5.85183,12,267.429374
7.501712,19,267.949705
5.46553,11,268.093523
20.103015,25,268.536708
15.759953,30,269.082063
20.082875,25,269.49913
19.985662,21,269.858789
14.283944,17,270.222622
13.077831,33,270.701278
68.831074,48,271.34981
6.401349,8,271.464393
12.775659,15,271.68417
6.882484,14,271.888577
14.649624,16,272.172081
9.196402,12,272.419909
9.343301,17,272.672562
7.710777,10,272.804884
11.34405,16,273.000739
7.05402,11,273.136111
19.939194,21,285.82221
99.566044,66,287.512532
7.670371,10,287.95505
11.244401,14,288.231627
17.589429,19,288.351109
31.875765,35,289.322195
27.75723,26,289.679825
12.472776,15,290.309791
26.162867,27,290.747181
7.271404,11,290.96776
10.283922,13,291.201041
7.749152,10,291.392478
20.257348,20,291.598692
16.718473,17,291.764512
9.366288,11,291.888319
12.66953,15,292.140034
3.549362,9,292.44472
