# {"t_start": 1597501001.101043, "env_id": "HopperBulletEnv-v0"} 
r,l,t
15.884746,6,0.855021
17.14581,7,1.00768
15.614772,5,1.122401
20.560339,16,1.464601
17.195906,10,1.680417
15.82434,10,1.913199
19.98132,11,2.156979
10.589416,13,2.445963
17.313086,11,2.688454
11.463464,13,2.975295
10.995875,7,3.129659
13.82046,16,3.482736
19.246748,13,3.770021
12.076626,19,4.197283
9.89031,9,4.398446
15.595487,10,4.62002
15.268068,6,4.750651
12.798044,18,5.152995
16.721974,11,5.402584
15.478757,13,5.690928
13.755239,17,6.069247
14.905838,7,6.223421
11.754957,18,6.615784
16.444003,11,6.857996
18.041979,6,7.007404
11.405581,12,7.3319
17.769415,7,7.518321
17.739361,7,7.670663
16.810918,9,7.866315
18.252087,8,8.045969
17.311111,6,8.179329
14.086053,7,8.335345
17.152892,6,8.470309
11.221642,11,8.709043
21.669979,18,9.106301
15.783774,5,9.216002
12.969845,16,9.565996
16.933599,6,9.698228
12.486313,15,10.022204
16.241769,6,10.158783
13.95499,8,10.332586
15.395699,9,10.528367
13.987514,9,10.728786
16.140874,11,10.971772
11.211413,11,11.220162
15.901158,10,11.439979
13.856702,15,11.780159
17.624017,14,12.090575
11.610939,9,12.289521
19.178855,18,12.68646
10.876618,9,12.881706
16.766921,9,13.08033
20.681084,12,13.345115
18.191907,8,13.518285
17.108245,7,13.672521
16.060393,14,13.980585
15.679121,9,14.18338
8.280867,21,14.640902
17.586524,7,14.794003
15.210465,7,14.947161
20.073961,9,15.148876
14.825584,7,15.302774
17.029508,9,15.499199
21.135826,12,15.76157
17.784251,13,16.046336
17.937026,8,16.22426
10.508047,15,16.550999
16.12777,12,16.811834
16.154169,6,16.942507
12.105166,12,17.209728
15.328824,10,17.428717
15.189341,11,17.668068
14.322767,13,17.957517
13.874967,11,18.199966
13.422639,7,18.354528
17.976552,13,18.639732
14.81014,5,18.749032
17.937623,7,18.9023
17.352951,25,19.455155
18.046337,7,19.608085
18.655553,13,19.899515
20.028036,9,20.097974
17.209071,16,20.447865
16.152314,10,20.665749
9.035742,8,20.838812
13.273678,11,21.085411
15.869584,13,21.370229
26.454274,23,21.882792
14.210948,11,22.127605
16.960177,9,22.322742
13.727034,13,22.606609
14.888665,7,22.760382
19.748941,11,23.018449
15.335426,7,23.029366
20.004806,13,23.047411
20.318408,9,23.057847
18.957749,6,23.064921
20.0045,9,23.077059
18.636185,17,23.09512
12.646723,13,23.107737
19.490615,16,23.121459
20.932927,8,23.128469
15.504837,7,23.134806
16.887245,10,23.143321
20.408301,20,23.160221
16.411236,9,23.16988
19.713482,21,23.189544
13.533916,10,23.198297
8.938441,17,23.212684
12.585795,8,23.22024
13.31113,7,23.226642
19.601888,8,23.233753
14.200149,13,23.245101
15.795161,5,23.249881
22.601013,22,23.26891
11.86943,14,23.280768
15.898176,5,23.285366
14.763006,7,23.291519
15.122537,7,23.297799
20.314304,10,23.307058
16.655201,12,23.317663
15.824227,6,23.323012
15.068126,11,23.332619
18.20304,14,23.344785
11.132021,15,23.357776
17.411515,7,23.364312
15.623529,10,23.37291
14.315935,10,23.381574
14.662557,5,23.386103
19.089068,7,23.3925
16.365575,5,23.39724
17.064081,8,23.404112
17.261889,14,23.416463
17.764306,10,23.425258
19.167442,12,23.435625
21.930901,21,23.453825
17.530769,12,23.465314
15.473485,12,23.475976
17.805904,7,23.482578
16.195403,7,23.489128
15.494216,7,23.495619
14.601071,8,23.50264
14.133997,10,23.511447
15.971696,5,23.515921
20.695983,18,23.531145
19.208337,11,23.540905
17.300458,6,23.546556
20.723145,15,23.559331
16.881769,13,23.571743
11.719922,10,23.58062
19.709039,12,23.590916
12.508783,9,23.598555
15.888717,9,23.606501
10.937023,7,23.612958
15.526952,6,23.61854
15.441392,12,23.628608
20.367243,9,23.63664
14.367814,10,23.644811
12.483317,8,23.652095
15.331109,6,23.657774
14.85658,6,23.663131
14.104776,5,23.667842
17.590876,6,23.673179
21.67423,19,23.689238
21.730633,12,23.699754
15.565843,7,23.706374
13.126163,15,23.719231
13.851086,12,23.72979
15.736273,8,23.736536
15.345693,13,23.747466
19.744188,11,23.756762
18.910413,12,23.767001
16.587789,9,23.774812
17.449977,13,23.785944
15.421844,12,23.796036
15.766118,6,23.801362
14.19575,13,23.812088
17.463533,7,23.819906
17.904897,13,23.832016
12.248914,6,23.837303
16.353882,15,23.850819
17.457856,16,23.864601
19.916229,22,23.883069
12.121401,16,23.896529
15.022339,6,23.901908
11.60692,9,23.909708
13.135581,11,23.919034
19.517579,8,23.926047
18.788137,12,23.936223
14.644535,6,23.941447
13.999777,14,23.953621
17.011722,13,24.353607
18.179233,9,24.362139
17.347104,10,24.371254
13.461917,9,24.378816
24.556765,20,24.396333
17.669622,9,24.404356
12.334181,7,24.410712
16.86038,7,24.416762
20.002649,16,24.430158
14.997247,10,24.438798
14.523536,13,24.45003
15.558328,13,24.46091
15.627876,5,24.46558
13.689601,15,24.47807
16.149829,10,24.488789
13.037107,8,24.497765
21.675416,9,24.507886
17.645739,7,24.514003
16.08847,10,24.522524
15.284783,9,24.530422
19.057931,10,24.539484
13.144037,8,24.546748
18.876213,12,24.557043
15.559013,10,24.566549
18.700188,6,24.572159
13.926227,5,24.576762
16.084638,6,24.582117
18.698915,6,24.587334
16.642795,10,24.599572
18.857113,14,24.616402
12.321205,5,24.620777
19.200345,9,24.628524
17.664476,11,24.638017
14.473139,11,24.650189
14.378069,7,24.659275
16.42062,5,24.665282
16.078431,7,24.673732
13.091698,6,24.679786
5.442901,21,24.697873
15.280476,9,24.705828
15.576991,13,24.716714
13.657912,8,24.723693
16.284292,10,24.732445
16.341884,22,24.7503
15.916896,6,24.755619
17.40164,12,24.765632
19.55539,9,24.773358
15.034546,5,24.77817
13.710804,13,24.789614
16.374463,6,24.794964
17.946886,12,24.805
13.596026,6,24.810335
16.14259,10,24.819348
22.472494,13,24.830335
16.25812,11,24.840058
11.759832,7,24.846077
18.649668,15,24.85907
21.355434,11,24.86898
17.542757,14,24.881313
15.80543,8,24.88851
11.981589,6,24.893805
17.90607,11,24.903085
17.870286,7,24.909129
14.176129,13,24.92167
17.64669,11,24.931038
16.469199,14,24.942676
15.92468,6,24.950279
17.70867,6,24.957521
16.203887,6,24.963657
17.20777,12,24.974322
16.020374,12,24.984829
19.775861,12,24.995623
16.246744,7,25.003192
16.002516,7,25.010757
11.679315,19,25.026996
15.064145,15,25.041659
16.967835,8,25.052594
11.806431,18,25.074011
19.239587,8,25.08307
16.251505,8,25.091471
15.707007,5,25.096143
14.406862,15,25.109949
13.231493,14,25.123196
13.727004,12,25.13547
13.64456,6,25.142088
15.208486,9,25.149795
18.218397,9,25.158609
14.600045,6,25.16392
17.772931,10,25.172583
21.272543,9,25.180408
12.79811,10,25.189136
20.455486,13,25.200192
16.198359,7,25.206543
20.350264,13,25.217854
19.307185,14,25.229744
16.896727,6,25.235306
15.705149,7,25.241477
19.203139,11,25.250928
16.166396,9,25.259381
