eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
10.52,16.44101761,86,0.009160219,0.12734374,4.2344832,-0.015490925,42.426712,0.012283146381378174,1,2048,23.628108312,2048
9.1,16.491878999999997,934,0.0063747303,0.076660156,4.194694,-0.009247573,44.055195,0.04649311304092407,2,4096,25.819375964,4096
8.54,16.2619764,953,0.0078055896,0.09472656,4.128215,-0.011120247,44.78357,0.07129275798797607,3,6144,27.968769441,6144
8.35,16.89102494,944,0.007547052,0.088134766,4.0508056,-0.0128656,43.787113,0.09974533319473267,4,8192,30.136660861000003,8192
7.53,16.35267733,940,0.006788563,0.07900391,3.9759088,-0.010825859,40.579212,0.1671363115310669,5,10240,32.314992775,10240
7.99,17.210074419999998,934,0.0053717634,0.055371094,3.9158974,-0.0061760573,37.048317,0.2635846734046936,6,12288,34.506818696,12288
8.49,17.290881309999996,863,0.007928007,0.09770508,3.8621597,-0.011971567,31.419636,0.3320172429084778,7,14336,36.88003934,14336
7.95,17.20831788,868,0.007680694,0.09057617,3.8049018,-0.012028897,28.443176,0.3944631814956665,8,16384,39.238917559,16384
7.11,17.06886627,929,0.0057522105,0.06552734,3.7489738,-0.0072534084,24.939096,0.48973220586776733,9,18432,41.443402003,18432
7.59,17.79362774,937,0.0054369005,0.06064453,3.710591,-0.00727236,22.571041,0.5315207839012146,10,20480,43.627623868,20480
8.04,18.62066599,934,0.00696482,0.07993164,3.654693,-0.010066276,20.622864,0.5617825984954834,11,22528,45.819822614,22528
7.59,18.71030319,938,0.006571832,0.07514648,3.5904298,-0.009451378,20.736292,0.5873627960681915,12,24576,48.002481781,24576
8.5,18.60930111,941,0.006312133,0.064648435,3.5396633,-0.006437826,16.97476,0.6238432824611664,13,26624,50.178809253,26624
8.48,18.679346250000002,927,0.009492108,0.122998044,3.4820824,-0.012931151,15.395938,0.6548635363578796,14,28672,52.388450732,28672
9.96,19.78844131,956,0.007611496,0.09624024,3.431336,-0.011298828,14.520859,0.673342376947403,15,30720,54.530588633,30720
11.45,21.17849631,949,0.008699756,0.110888675,3.3730557,-0.014247941,16.515612,0.6538017690181732,16,32768,56.687780255,32768
13.7,22.55349207,959,0.008751733,0.10864258,3.317077,-0.0146059515,17.552921,0.6292577981948853,17,34816,58.823297286,34816
17.56,25.12079278,976,0.009012288,0.115234375,3.2614303,-0.015599839,22.197027,0.5141398310661316,18,36864,60.920413651000004,36864
22.94,28.634585859999998,982,0.0080543365,0.107177734,3.2110863,-0.015714753,27.149654,0.5315235257148743,19,38912,63.004540977000005,38912
26.43,32.62011355,974,0.0073662223,0.0949707,3.172822,-0.012071124,29.556797,0.5144407749176025,20,40960,65.106385911,40960
27.38,34.38028189,862,0.009607246,0.12202148,3.1280882,-0.016316606,31.532806,0.48636502027511597,21,43008,67.48228629,43008
30.57,36.72075698,980,0.008824245,0.11669922,3.069035,-0.013936549,35.22048,0.5187752544879913,22,45056,69.570526871,45056
34.71,40.16922243999999,976,0.009221557,0.11645508,3.0129619,-0.013644265,36.883682,0.4824376106262207,23,47104,71.668415775,47104
38.47,44.886437040000004,985,0.0076852217,0.08696289,2.956392,-0.009053755,39.8384,0.5510141253471375,24,49152,73.747549325,49152
39.92,47.11657153,974,0.0071592974,0.084375,2.907001,-0.008159621,37.178856,0.5860190391540527,25,51200,75.848582941,51200
40.62,48.81922928,977,0.006916298,0.07924805,2.8552547,-0.005805394,41.80353,0.6366795301437378,26,53248,77.945079861,53248
40.31,50.30890194,980,0.006555444,0.07709961,2.8145661,-0.0057210913,41.90249,0.6306696236133575,27,55296,80.034339992,55296
39.57,50.17020802,987,0.0067749443,0.08427735,2.7740588,-0.008621363,41.790367,0.6073865294456482,28,57344,82.109134594,57344
39.94,50.521779560000006,960,0.007828746,0.09794922,2.7175593,-0.00780503,41.346535,0.6724419295787811,29,59392,84.241519,59392
41.44,53.771417650000004,970,0.0064233816,0.077539064,2.6658158,-0.0052524335,46.33335,0.6700080335140228,30,61440,86.351695562,61440
42.44,55.4631243,973,0.008084989,0.09858398,2.618942,-0.0070501664,39.41619,0.704779326915741,31,63488,88.455322098,63488
42.92,55.93843738,989,0.006951879,0.08427735,2.5638533,-0.007613183,40.89427,0.7041938304901123,32,65536,90.525990768,65536
43.19,56.888234010000005,983,0.007913613,0.09863281,2.5192103,-0.007542783,37.532005,0.7307508289813995,33,67584,92.60929801,67584
43.28,56.97054247999999,975,0.007799345,0.09672852,2.4788787,-0.008061729,35.752937,0.7318724691867828,34,69632,94.709252466,69632
43.79,58.63291250000001,870,0.0069879564,0.08876953,2.4410455,-0.0073452117,38.72248,0.7391706109046936,35,71680,97.062597388,71680
44.66,59.48890797,984,0.0062503554,0.07739258,2.41363,-0.0038560978,33.696083,0.7201697528362274,36,73728,99.142630139,73728
42.79,57.811591600000014,978,0.008686745,0.119335935,2.3881745,-0.009490758,35.953938,0.6947223246097565,37,75776,101.236191377,75776
43.15,59.061216300000005,983,0.007517638,0.09648438,2.3459237,-0.008566936,36.427727,0.7239983081817627,38,77824,103.318277296,77824
43.69,60.34209337,981,0.006928497,0.08383789,2.2975075,-0.006392398,37.529106,0.7129932045936584,39,79872,105.404260023,79872
43.24,59.75408149,983,0.006761878,0.08491211,2.2606912,-0.0053460747,32.106472,0.7266369462013245,40,81920,107.487023726,81920
42.88,59.62707864,964,0.007654226,0.09814453,2.2310739,-0.007961756,35.401825,0.7360884547233582,41,83968,109.611756,83968
43.34,61.501160219999996,974,0.006371853,0.07856445,2.2105095,-0.0003523535,36.68681,0.7414576709270477,42,86016,111.714315699,86016
43.67,62.62587555,979,0.009806512,0.12963867,2.2094464,-0.008589795,34.891518,0.7442990243434906,43,88064,113.805955496,88064
44.49,63.06935784,981,0.006348437,0.080566406,2.2045636,-0.0037090075,36.701504,0.7488310635089874,44,90112,115.892714534,90112
45.9,63.25373799,982,0.0072845034,0.09311523,2.1757123,-0.008757158,34.45016,0.7337417006492615,45,92160,117.977242467,92160
47.12,64.87301389,986,0.008465627,0.106738284,2.1376164,-0.006927422,35.360344,0.774318516254425,46,94208,120.053153946,94208
48.46,66.9298047,984,0.007831442,0.10180664,2.0983262,-0.008710607,37.127647,0.7736655026674271,47,96256,122.133309345,96256
49.54,68.04499143999999,980,0.006833181,0.08286133,2.0549436,-0.0058570583,34.60948,0.7654723227024078,48,98304,124.22170980300001,98304
51.27,69.87477708,961,0.008805386,0.11254883,2.0040538,-0.0077978126,36.04195,0.7776838690042496,49,100352,126.35299313499999,100352
51.42,70.73010143,885,0.007513155,0.09770508,1.9655619,-0.0057999482,36.14869,0.77564437687397,50,102400,128.667137514,102400
52.17,71.78012266,975,0.009993738,0.13266602,1.9567449,-0.0064149937,36.643627,0.7826317548751831,51,104448,130.767475039,104448
53.45,73.03248405000001,983,0.009391615,0.1303711,1.9571966,-0.007969147,33.186283,0.8032916635274887,52,106496,132.850948637,106496
56.8,75.19764569,984,0.00677865,0.082617186,1.9427412,-0.005092426,34.80361,0.7754534482955933,53,108544,134.932194083,108544
59.63,76.18008914,973,0.008912123,0.11757813,1.9296856,-0.005426895,35.650784,0.7190902233123779,54,110592,137.035581609,110592
63.44,79.22361557,979,0.007280414,0.091748044,1.9186531,-0.0032641352,34.004486,0.8042603582143784,55,112640,139.126946226,112640
65.91,81.53577224,987,0.008671961,0.11757813,1.9006695,-0.007919117,33.883705,0.7990529090166092,56,114688,141.201434385,114688
68.38,85.87454579000001,968,0.00923098,0.11850586,1.8687174,-0.007731296,40.851448,0.8022447675466537,57,116736,143.315722812,116736
66.11,84.47529169,970,0.008652039,0.11860351,1.8194278,-0.009699656,34.924835,0.8048004060983658,58,118784,145.425762069,118784
65.26,85.72410896000001,981,0.009533202,0.125,1.7807922,-0.00712194,39.498764,0.809978261590004,59,120832,147.512408421,120832
65.92,87.20486976999999,979,0.011090577,0.15444335,1.7484274,-0.0110423295,47.13701,0.8128221184015274,60,122880,149.602910294,122880
68.32,92.89987227000002,984,0.010693281,0.14853516,1.7213169,-0.011249012,62.29928,0.7930039763450623,61,124928,151.684644865,124928
71.44,100.65865779999999,987,0.012262855,0.15952149,1.6904013,-0.013982686,71.705246,0.7857477962970734,62,126976,153.75870216,126976
73.56,107.23696958000002,985,0.012810074,0.16611329,1.6474607,-0.005835806,76.22072,0.8252132534980774,63,129024,155.837143725,129024
78.5,115.39092862,865,0.009981348,0.1362793,1.6020405,-0.006697579,75.49675,0.7900799959897995,64,131072,158.20426953,131072
81.24,119.85781475,971,0.008587129,0.11289062,1.5636152,-0.0038394562,74.37194,0.7742502987384796,65,133120,160.313450694,133120
88.06,127.63672653999998,984,0.009882564,0.13408203,1.5498576,-0.0042143683,75.76318,0.7841897308826447,66,135168,162.394695762,135168
97.0,136.13402803,984,0.00803123,0.10268555,1.5445588,-0.004053354,66.56888,0.771525040268898,67,137216,164.474446768,137216
102.39,141.23378945000002,980,0.008757127,0.11274414,1.5428212,-0.004740919,72.49593,0.7368150651454926,68,139264,166.563012057,139264
107.94,146.27375412,988,0.0075405976,0.095898435,1.5346702,-0.0018075643,64.477135,0.7636510878801346,69,141312,168.635221788,141312
111.65,150.44188365000002,983,0.007893735,0.103564456,1.5092757,-0.0010711808,69.75622,0.7924997359514236,70,143360,170.718507083,143360
111.67,150.69157081,938,0.0075595467,0.09448242,1.489564,-0.004282546,64.16029,0.776697650551796,71,145408,172.902103333,145408
108.86,148.57851517999998,969,0.00761813,0.101220705,1.4783766,-0.002596905,65.595665,0.786485493183136,72,147456,175.016050068,147456
105.93,147.06620528,976,0.010675898,0.14282227,1.4647019,-0.0070026903,68.75951,0.803660973906517,73,149504,177.11323414,149504
101.47,143.33254968,986,0.008532428,0.11279297,1.4417207,-0.0020276213,61.989655,0.8079604208469391,74,151552,179.189662058,151552
98.19,140.36380235,985,0.0069119753,0.08759765,1.4444195,-0.0024777767,60.49648,0.8225638121366501,75,153600,181.267444523,153600
100.84,143.02461311,984,0.008339325,0.11000977,1.4494599,-0.0051336484,56.470997,0.8261065632104874,76,155648,183.348610096,155648
103.57,146.16080476000002,979,0.008970764,0.11391602,1.4375998,-0.0039314767,55.787983,0.8427760303020477,77,157696,185.439371941,157696
103.28,145.37750906000002,854,0.0074501694,0.09643555,1.4334118,-0.0010217053,54.15434,0.8294094651937485,78,159744,187.837338585,159744
102.32,144.82498399000002,969,0.009082844,0.11972656,1.4289509,-0.006913637,59.226128,0.817677691578865,79,161792,189.950228889,161792
103.63,146.93229526000002,973,0.008938314,0.11508789,1.440794,-0.0039900495,57.613537,0.8535680174827576,80,163840,192.054315558,163840
102.6,146.49536453000002,985,0.008652063,0.11333008,1.444937,-0.004481317,51.879425,0.8568394482135773,81,165888,194.132611664,165888
98.09,143.72266331999998,984,0.0077664754,0.101660155,1.4184697,-0.0039541256,68.09065,0.8132101744413376,82,167936,196.213123884,167936
98.71,145.62199775000002,979,0.008907104,0.1171875,1.3930256,-0.007061909,57.52077,0.8271593451499939,83,169984,198.304109268,169984
101.89,150.01783319999998,986,0.0070588454,0.09008789,1.3822912,-0.002106402,65.72943,0.8484054654836655,84,172032,200.380739141,172032
103.43,152.38689579,980,0.009532059,0.12397461,1.3525422,-0.0021010519,57.407013,0.8266425430774689,85,174080,202.468886159,174080
101.78,153.20903341999997,958,0.007329052,0.09667969,1.3380544,-0.0049322583,81.11903,0.7378056049346924,86,176128,204.605913558,176128
104.19,156.87567576,972,0.008164262,0.10654297,1.3394248,-0.0032009624,73.64183,0.8052172511816025,87,178176,206.711816366,178176
107.66,162.39842635000002,983,0.007950928,0.10844727,1.3468859,-0.004585216,79.82576,0.7973782569169998,88,180224,208.793768488,180224
106.75,162.50153197,997,0.006866593,0.08125,1.3438755,-0.0037023802,68.759476,0.757235199213028,89,182272,210.846467047,182272
112.68,168.86146968999998,988,0.010065994,0.1373047,1.3400886,-0.0075859935,63.376026,0.7877174466848373,90,184320,212.918104694,184320
