eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
10.83,16.187267650000003,42,0.007855367,0.09858398,4.240242,-0.012108969,38.129475,0.03968644142150879,1,2048,48.536472267,2048
10.41,16.212166670000002,413,0.008146691,0.098925784,4.1945662,-0.012176434,37.779274,0.07102376222610474,2,4096,53.487183496,4096
9.03,16.624257049999997,386,0.006332971,0.069042966,4.1375413,-0.008828228,41.514732,0.09728413820266724,3,6144,58.780038224,6144
9.26,17.3324329,397,0.0070678354,0.08896484,4.0933065,-0.010987253,39.790726,0.16325736045837402,4,8192,63.939167360000006,8192
8.46,16.82337458,452,0.00526978,0.05419922,4.0451875,-0.0061454903,35.990547,0.25403404235839844,5,10240,68.469340567,10240
8.56,17.37528615,460,0.00824286,0.09907226,3.9785163,-0.010778742,31.095835,0.35349202156066895,6,12288,72.91333698700001,12288
8.95,17.81802574,401,0.006309162,0.068359375,3.9095936,-0.007682764,26.492344,0.4166235327720642,7,14336,78.020340062,14336
9.22,18.1171836,387,0.0058787405,0.064697266,3.8449326,-0.007054848,24.392525,0.4789412021636963,8,16384,83.311460976,16384
10.1,18.779759669999997,432,0.0058015077,0.06040039,3.7814145,-0.0067086807,22.407988,0.5276985168457031,9,18432,88.049605631,18432
9.22,18.593848209999997,420,0.006870337,0.08085938,3.7126555,-0.009436444,21.230774,0.5634388625621796,10,20480,92.916387403,20480
11.85,20.31598725,425,0.0060950243,0.06850586,3.6402843,-0.009009926,22.733055,0.5083050727844238,11,22528,97.732912455,22528
13.3,20.972154480000004,445,0.0074206716,0.08496094,3.581015,-0.010442408,22.086813,0.5456874370574951,12,24576,102.32758511300001,24576
15.28,23.217955510000003,451,0.007040442,0.08286133,3.5186698,-0.00916248,24.874758,0.542385071516037,13,26624,106.86751773900001,26624
16.86,22.96570044,454,0.006492027,0.07788086,3.4729183,-0.008812163,21.428108,0.44149595499038696,14,28672,111.37074876300001,28672
16.91,24.445125900000004,429,0.0070669046,0.08901367,3.4439006,-0.009390782,27.253754,0.5377642810344696,15,30720,116.14546921200001,30720
20.3,25.71724218,369,0.0066607697,0.080078125,3.410606,-0.009238538,25.93331,0.4514603614807129,16,32768,121.687121071,32768
21.55,27.256093859999996,460,0.0071178502,0.08671875,3.3769054,-0.011225476,27.158215,0.5005629658699036,17,34816,126.133970909,34816
24.38,29.95068927999999,480,0.008924423,0.10893555,3.347159,-0.0144656915,31.934448,0.44039392471313477,18,36864,130.39640572800002,36864
26.56,32.06106036,466,0.0075214743,0.09516601,3.3313465,-0.010406752,30.78179,0.5239095687866211,19,38912,134.784150531,38912
31.82,35.65787905,477,0.0074401177,0.087890625,3.299926,-0.009382942,33.352978,0.5058481991291046,20,40960,139.06955884,40960
39.94,41.998646,473,0.007103555,0.08701172,3.2548435,-0.008135961,39.075012,0.569078266620636,21,43008,143.39616693300002,43008
43.89,46.368766259999994,459,0.0083301505,0.10180664,3.2385533,-0.008710826,40.730843,0.5289824306964874,22,45056,147.852146159,45056
47.66,49.28200331,480,0.00758237,0.09838867,3.226359,-0.009750431,36.564842,0.5748353004455566,23,47104,152.11322020900002,47104
52.82,52.9204527,481,0.006485595,0.0803711,3.1969674,-0.007861537,36.79728,0.5841172337532043,24,49152,156.369197582,49152
54.08,54.358050780000006,480,0.0075106076,0.09243164,3.1599724,-0.006387589,37.42861,0.6160850822925568,25,51200,160.628518703,51200
55.28,56.42461179,480,0.0074623935,0.09379883,3.1233504,-0.009252797,36.121788,0.6571059823036194,26,53248,164.895698331,53248
60.22,60.38498207000001,475,0.008018221,0.10180664,3.124447,-0.011744631,37.135624,0.6667386293411255,27,55296,169.201870684,55296
66.17,65.33272889,483,0.0063886167,0.08071289,3.1302898,-0.007117202,38.70826,0.6822651326656342,28,57344,173.438648347,57344
72.38,69.37141988,456,0.006911099,0.08530273,3.0973253,-0.009137388,32.811237,0.6867845356464386,29,59392,177.921269496,59392
82.77,76.49009075,450,0.0056132716,0.061572265,3.07118,-0.0049428777,34.904846,0.7088810503482819,30,61440,182.47306747300001,61440
