# {"t_start": 1597490725.952815, "env_id": "HopperBulletEnv-v0"} 
r,l,t
17.766031,11,52.884606
16.334392,6,52.895579
19.484813,10,52.913362
18.938489,16,52.941011
18.608473,14,52.96588
19.281471,16,52.995131
24.529999,19,53.030539
9.483105,8,53.047956
8.50975,12,53.070716
19.005689,6,53.081615
16.091489,7,53.095354
15.247281,6,53.106566
19.666978,16,53.139838
18.985808,7,53.155592
17.437449,6,53.174327
16.672001,9,53.207495
25.368548,21,53.248537
16.83368,10,53.266484
18.796144,16,53.294134
13.358499,15,53.320335
19.410205,7,53.332896
12.290086,8,53.347234
15.113591,11,53.366348
17.726174,6,53.377591
18.254159,9,53.394091
17.372184,9,53.410599
19.453141,20,53.446168
16.322522,9,53.462334
11.877632,10,53.481638
17.584795,6,53.496082
14.887756,7,53.512089
0.226844,30,53.570759
11.587721,18,53.605158
12.7804,11,53.630338
17.963645,11,53.652514
14.524256,17,53.699566
17.529368,13,53.734277
16.954505,10,53.754412
17.404963,11,53.777017
19.007088,8,53.794529
16.898164,12,53.817923
19.132281,8,53.832268
16.412141,9,53.851432
18.603646,18,53.896506
15.378029,9,53.920736
23.86123,15,53.947509
13.858594,6,53.958336
20.831276,11,53.975857
18.973033,19,54.009507
17.678746,9,54.025921
15.090316,16,54.054549
15.926573,7,54.067329
17.107311,9,54.082787
20.652813,9,54.099168
16.890167,8,54.113998
18.733407,11,54.136041
17.910801,6,54.148316
16.961237,6,54.159502
14.000647,10,54.178183
17.60558,9,54.194394
18.105465,7,54.20781
11.64091,14,54.233256
13.678284,13,54.259008
17.38166,9,54.278933
16.641845,9,54.296304
16.527296,9,54.316859
20.05361,18,54.347908
17.945379,12,54.37036
15.03078,5,54.379743
19.543325,10,54.398201
16.473182,7,54.411066
18.615806,10,54.429028
16.376715,6,54.440165
14.024778,7,54.453594
18.075836,9,54.470408
15.977789,7,54.484942
16.837768,18,54.529556
15.150029,12,54.557824
18.952791,8,54.572292
17.126387,13,54.597586
11.457413,9,54.615302
17.81374,6,54.626304
11.571077,10,54.643847
8.958187,13,54.667344
15.959282,9,54.683782
17.185642,9,54.702759
13.030534,10,54.723477
15.400162,12,54.746582
11.982958,17,54.777302
18.396348,8,54.792472
18.979314,8,54.808572
14.521996,13,54.83286
16.51047,18,54.865939
14.272591,6,54.883334
20.352901,8,54.910035
15.483875,12,54.935084
18.839983,12,54.959236
9.838781,15,54.988238
16.008034,9,55.00956
16.956201,7,55.02352
17.21373,6,55.036187
16.045501,5,55.048352
17.498949,8,55.070353
15.664266,10,55.095283
20.438931,12,55.117883
17.286959,6,55.129488
16.091133,6,55.140936
13.552306,6,55.15239
12.439658,10,55.170005
