# {"t_start": 1597490725.952689, "env_id": "HopperBulletEnv-v0"} 
r,l,t
22.22825,22,3.45259
17.556183,6,3.671169
15.241132,11,4.056242
18.004113,13,4.615574
17.617499,5,4.802816
17.03707,6,5.043467
17.792102,10,5.528211
11.486786,14,6.271961
14.688236,8,6.619169
14.173748,9,6.964985
20.690185,14,7.575484
17.585659,9,7.941782
12.344416,13,8.561477
19.066413,13,9.239837
13.444424,20,10.191032
17.665849,8,10.530226
15.92106,13,11.067184
19.72176,10,11.51564
11.308719,7,11.816614
16.011832,12,12.31886
15.904888,7,12.604782
13.910163,15,13.297623
19.150681,12,13.782389
13.113726,8,14.141907
13.156518,9,14.558476
17.124282,8,15.002748
20.200222,13,15.692818
13.73278,6,15.939447
18.694613,10,16.363437
14.80943,7,16.681113
10.513106,13,17.278683
15.931968,5,17.486488
23.092992,24,18.518156
16.458134,16,19.228503
18.918825,7,19.522358
15.26769,9,19.913949
19.56608,16,20.604962
16.182375,11,21.099829
10.858508,10,21.556649
16.915746,9,21.934792
16.875522,8,22.270766
19.146005,8,22.776949
10.318443,27,23.95109
12.782487,11,24.498234
17.559284,11,24.96657
18.655614,12,25.528507
19.188826,8,25.875614
13.352947,10,26.30825
17.288146,7,26.612366
16.910058,7,26.908096
17.748577,12,27.402607
20.591837,20,28.288048
13.854369,9,28.743053
11.749941,12,29.337655
15.155383,10,29.756956
20.545931,12,30.284189
17.827144,8,30.646993
18.088802,8,31.10106
18.975498,14,31.78558
16.841047,17,32.531689
20.464079,9,32.910594
15.856215,7,33.243853
18.464925,10,33.668566
17.883536,10,34.144412
15.425,10,35.274741
15.861079,9,36.032318
11.775849,6,36.35824
15.335612,7,36.761003
15.279964,10,37.25541
18.988624,8,37.600085
13.361274,9,38.000308
18.136381,11,38.502947
13.726656,10,38.937952
12.260539,15,39.661873
20.708972,13,40.222027
16.025023,8,40.552901
14.721104,12,41.058932
18.286779,11,41.522699
17.086249,6,41.80245
21.701138,20,42.641278
14.581725,6,42.902212
17.590638,7,43.203109
13.645963,7,43.492317
16.581495,7,43.776367
20.154908,9,44.140515
18.049735,7,44.417084
14.617155,9,44.828222
17.536251,10,45.252802
16.677132,6,45.49199
15.038247,9,45.883829
15.866783,7,46.16977
14.424317,7,46.47111
16.739686,15,47.095212
15.191243,8,47.426449
17.868835,13,47.933807
17.48118,17,48.412288
17.922233,11,48.43333
14.204805,6,48.445707
23.759683,14,48.473219
15.787366,7,48.485898
8.836148,18,48.518719
18.059086,8,48.534287
12.197276,9,48.554703
17.783212,14,48.582771
15.172358,7,48.597085
14.212857,14,48.623692
16.211834,10,48.641265
15.827569,9,48.657966
17.490896,11,48.677734
17.46454,9,48.693971
11.63856,16,48.721608
17.709619,11,48.740856
14.465714,9,48.757696
13.985138,10,48.775706
11.276007,6,48.78647
14.275408,10,48.804814
16.508327,13,48.827523
17.445098,11,48.846913
17.040182,9,48.863898
28.112743,22,48.902838
18.382329,14,48.9269
14.533996,14,48.951388
15.827795,10,48.969316
17.158261,9,48.985819
17.882278,9,49.003186
19.07436,8,49.017607
19.95884,20,49.056226
18.722299,16,49.088288
17.538613,6,49.099469
13.685236,8,49.115718
16.559911,13,49.140378
16.310279,8,49.155327
16.179638,11,49.175069
15.681165,6,49.186151
12.631884,14,49.210952
16.73567,10,49.228685
16.298506,8,49.244801
16.002228,6,49.255292
17.195427,12,49.276726
16.984349,6,49.287851
14.011178,7,49.30096
17.964252,8,49.31554
10.738212,11,49.336147
13.786318,9,49.352325
11.992472,20,49.387699
16.469872,8,49.40564
15.754017,10,49.423281
14.998733,11,49.442652
18.620092,7,49.457228
15.833529,9,49.480703
15.700512,11,49.501778
16.842059,7,49.528643
20.732812,12,49.560204
18.800424,11,49.587278
18.561757,12,49.610447
11.257216,12,49.63107
15.684965,5,49.64051
14.226982,12,49.662066
15.480569,6,49.672907
17.009879,6,49.683485
19.968202,17,49.713264
17.076764,10,49.731291
15.959368,9,49.74759
16.983598,7,49.760266
21.168622,18,49.790706
16.667508,11,49.810718
16.749144,8,49.824866
14.432937,9,49.840918
11.816336,11,49.861308
16.935083,19,49.905639
16.254795,13,49.929698
15.03273,11,49.950339
13.647737,13,49.973664
16.943721,7,49.986468
12.704856,6,49.9974
15.088115,21,50.036417
17.820588,13,50.059253
18.324663,8,50.073838
12.93589,9,50.090158
15.769096,9,50.108371
17.504975,12,50.130317
14.874642,8,50.146045
16.048368,5,50.156093
8.875843,16,50.185061
16.948507,17,50.217212
17.425895,11,50.239177
11.393692,14,50.27923
17.375976,8,50.300733
13.966361,10,50.324645
14.013045,11,50.346611
18.012724,19,50.383084
14.017597,6,50.393456
9.989149,10,51.258414
16.512104,8,51.273703
16.178653,9,51.290059
18.206776,11,51.309938
18.309978,9,51.326033
14.971027,9,51.342497
15.603629,10,51.361782
20.390629,11,51.38216
19.916328,14,51.406797
19.554589,9,51.424642
18.132752,7,51.437744
17.056442,6,51.449128
13.607748,5,51.458398
20.5202,11,51.478311
18.134221,7,51.491236
17.603405,11,51.511384
16.812805,8,51.526718
20.99643,9,51.543665
15.32685,6,51.554825
18.590628,7,51.567767
15.408218,8,51.582626
16.119508,8,51.597709
16.123344,8,51.612481
21.78838,11,51.634844
15.687661,17,51.667214
17.853246,6,51.679833
12.385795,8,51.694526
17.671968,12,51.718032
14.323352,10,51.737399
19.81809,19,51.771026
17.773098,8,51.785513
15.854485,17,51.816143
16.42216,7,51.828572
21.310583,10,51.847404
15.064215,8,51.860811
18.827972,7,51.87308
19.676224,9,51.893511
16.29467,7,51.907871
17.318453,7,51.923079
18.423562,15,51.95389
15.151367,11,51.974462
17.218452,9,51.994302
22.221487,10,52.01513
16.550437,6,52.028163
17.580974,10,52.046618
15.740923,6,52.057322
14.655853,16,52.086544
17.385783,14,52.111555
16.362579,21,52.15798
19.768874,19,52.195846
16.602034,14,52.221738
23.505888,21,52.259077
19.61031,13,52.283039
20.193421,16,52.31316
13.506829,15,52.343874
19.944066,16,52.375205
18.083394,7,52.391182
18.564968,6,52.414728
17.294394,7,52.437653
17.733445,9,52.456891
10.098339,9,52.473851
16.031789,7,52.489141
12.29866,10,52.518087
13.826537,6,52.529501
14.367596,6,52.543301
18.390404,7,52.557952
17.242482,7,52.57127
22.9731,16,52.600981
13.939509,14,52.6266
17.775772,9,52.642874
17.610906,5,52.653336
15.329769,6,52.664729
23.109888,14,52.691577
13.585607,6,52.702869
20.454197,14,52.727579
13.99495,6,52.739558
18.674963,14,52.765474
25.744511,28,52.814338
19.528949,11,52.833163
18.081155,8,52.847498
11.599868,10,52.864869
10.748616,13,52.888272
12.560096,10,52.907608
16.496055,8,52.921628
16.546397,9,52.938303
17.172278,10,52.955905
17.738683,15,52.982329
16.785501,19,53.018214
18.719155,6,53.034515
19.08428,10,53.057335
19.168044,8,53.075777
15.771304,12,53.099496
16.045592,13,53.123178
15.133463,14,53.147843
17.694012,8,53.164354
20.431516,10,53.187078
16.315965,8,53.203522
8.107047,8,53.219154
13.964145,6,53.230181
9.680461,9,53.246818
16.118566,5,53.256897
17.993675,10,53.275425
19.877359,15,53.30168
17.882993,10,53.318529
15.776881,8,53.332703
17.871152,10,53.350879
18.568848,14,53.375669
15.404844,8,53.391256
20.035681,15,53.417544
15.100313,11,53.436846
20.853947,9,53.453667
17.02653,6,53.464798
16.064009,9,53.488411
21.298939,20,53.530983
14.569844,7,53.545896
15.987033,8,53.562765
17.913797,7,53.577889
17.435038,10,53.597593
16.873847,8,53.616777
18.197445,9,53.63987
20.102743,17,53.67126
19.075378,14,53.722907
20.64603,12,53.744433
14.62372,10,53.763538
14.572727,12,53.790608
12.971483,12,53.814221
18.362106,9,53.831392
17.834236,8,53.845955
14.412511,7,53.860254
18.82087,15,53.890415
17.244888,9,53.907799
16.395825,7,53.921315
13.425566,7,53.934042
10.423806,10,53.952044
17.626995,12,53.973459
15.78933,7,53.985921
14.154563,7,53.999481
14.303208,7,54.012301
15.153573,8,54.027822
12.882623,9,54.044506
18.732412,6,54.057013
15.864253,6,54.06823
14.752472,7,54.081181
19.453821,8,54.097224
17.564056,6,54.109543
12.403655,10,54.128757
16.953788,9,54.146921
16.366288,7,54.160691
15.295246,6,54.172823
13.611324,9,54.189314
16.964789,8,54.204051
16.020063,11,54.223842
15.507775,10,54.242566
15.030202,6,54.253854
16.139464,6,54.264937
16.224099,10,54.283774
16.264067,6,54.295633
17.799605,10,54.317089
18.374461,10,54.334997
14.687376,15,54.362957
16.980698,6,54.376766
19.151274,11,54.397274
18.274701,16,54.429125
16.507041,10,54.451206
14.282465,9,54.471764
19.107892,8,54.498861
14.954247,10,54.518751
18.273672,9,54.534624
15.508549,5,54.543685
15.176377,10,54.561107
15.923104,19,54.596468
18.044279,6,54.607743
17.412497,7,54.621317
17.544283,6,54.632463
17.60261,17,54.663365
13.510012,6,54.674736
17.302331,6,54.687674
15.513872,12,54.710713
16.930487,7,54.72587
12.784549,6,54.736879
15.179677,14,54.764852
15.058605,6,54.779112
12.443793,10,54.808879
17.344863,8,54.831606
19.035077,15,54.866485
16.712135,16,54.89476
14.563296,8,54.909991
16.192499,10,54.928067
15.116435,9,54.944487
19.721655,10,54.963792
16.930022,8,54.979057
15.545568,6,54.991293
15.432757,10,55.009973
16.823852,17,55.044325
18.884889,7,55.06302
15.604442,7,55.080319
17.950267,9,55.101108
15.930567,7,55.115184
17.369305,9,55.132998
14.420705,5,55.142206
17.349075,6,55.152725
13.057383,12,55.173373
17.69481,14,55.198232
16.274488,7,55.211568
16.405981,6,55.222749
20.241852,17,55.252532
22.417498,14,56.092401
17.309428,7,56.105275
19.300534,15,56.133156
15.704155,5,56.143189
12.56649,9,56.160756
13.91826,14,56.186449
18.540325,19,56.22013
20.248841,9,56.235946
14.757697,6,56.247154
16.060508,15,56.274241
14.429042,7,56.287476
16.522521,11,56.307312
15.527352,8,56.322311
14.067897,9,56.33919
18.236175,9,56.355606
15.870627,12,56.381723
15.656232,7,56.395396
16.875977,6,56.407873
18.914271,5,56.418749
16.783158,16,56.447246
16.789597,5,56.457445
13.511217,5,56.467344
18.568335,7,56.480843
15.470913,11,56.500509
16.453318,10,56.519816
16.437712,11,56.541388
17.279364,7,56.554111
14.989132,12,56.574203
14.513707,6,56.585471
16.186541,10,56.60319
15.567671,7,56.615754
12.945089,23,56.656373
18.565774,11,56.675317
16.852866,12,56.697024
16.03391,6,56.70801
15.037122,5,56.717859
17.232423,7,56.730835
18.443729,6,56.741992
11.443338,7,56.755491
17.598042,7,56.769031
15.150715,10,56.786922
15.669526,15,56.813191
13.63495,7,56.826094
17.201205,6,56.837461
15.72447,10,56.856557
15.897118,7,56.868868
17.129761,7,56.881366
14.94187,16,56.910295
17.849577,6,56.921113
17.615041,10,56.938803
15.62923,7,56.952087
17.273187,5,56.96131
19.138756,7,56.973768
15.138793,7,56.986399
16.81971,6,56.99754
19.183172,14,57.023429
17.887624,9,57.039638
13.877618,18,57.078464
15.050054,10,57.098993
15.367759,8,57.113631
14.997754,6,57.126454
15.613332,11,57.147747
14.169943,7,57.160665
17.05898,11,57.200142
17.81776,8,57.232734
13.887826,9,57.273295
20.105064,14,57.336818
16.630818,8,57.387259
18.908097,13,57.421568
14.114334,6,57.433141
15.906599,7,57.446013
18.940154,7,57.458938
20.931019,11,57.478135
15.953004,8,57.492837
17.57974,10,57.511207
18.091163,6,57.522071
18.584144,16,57.552187
13.4108,12,57.574307
16.793921,12,57.597556
21.249124,18,57.628718
18.472719,10,57.646239
17.517763,19,57.680154
15.240653,8,57.696062
15.440548,8,57.713921
19.543192,8,57.729469
18.492427,12,57.751391
17.201535,6,57.7629
18.863305,12,57.783776
17.575878,7,57.797142
3.981891,10,57.815133
18.855528,10,57.832823
19.219483,6,57.845054
15.596124,5,57.857536
14.916561,6,57.869886
11.582845,7,57.88407
15.673575,11,57.908929
14.836619,12,57.931638
20.523215,7,57.944468
21.929687,12,57.966993
13.85206,9,57.983652
15.331368,9,58.001366
16.286422,7,58.014819
14.477523,5,58.02405
17.152475,14,58.049763
16.817304,9,58.067125
15.484169,9,58.085288
12.952638,8,58.103967
9.166546,13,58.130076
14.352856,15,58.158268
21.280891,15,58.185134
20.033107,14,58.210075
15.976724,8,58.225076
21.812797,21,58.2717
14.210572,12,58.296404
12.030593,15,58.326221
20.030934,15,58.360334
12.613907,13,58.38597
17.635412,10,58.404722
16.1902,7,58.417964
19.481293,14,58.443242
14.170455,19,58.479223
14.949372,9,58.511297
14.448076,9,58.536611
18.208,7,58.552433
17.75697,8,58.57118
17.794596,5,58.583695
22.827105,25,58.647042
16.923931,6,58.661545
12.253599,8,58.679777
18.916065,8,58.697451
16.860269,7,58.71451
16.279776,5,58.725748
16.290095,5,58.739895
18.046445,16,58.792234
17.977547,6,58.815774
17.452008,15,58.856424
20.851025,9,58.876371
17.391344,8,58.892687
18.093049,7,58.905296
17.632193,7,58.918047
16.977567,8,58.933105
20.379805,8,58.947591
19.7517,10,58.96582
18.374416,15,58.991693
13.936518,10,59.027153
19.453857,6,59.042368
19.144486,9,59.064664
15.667661,10,59.093668
13.737207,11,59.118377
16.634998,5,59.136591
18.488573,8,59.15173
20.3151,11,59.171508
16.319441,6,59.184861
17.394709,12,59.214015
18.518949,9,59.232273
19.640735,18,59.379885
16.306747,11,59.40753
19.454709,16,59.441273
13.026466,15,59.469652
8.851199,14,59.501927
20.743871,13,59.549881
16.467071,5,59.559928
12.006281,7,59.575501
17.218171,8,59.591338
18.041561,11,59.616809
16.999773,19,59.656349
12.560861,13,59.680234
18.436087,9,59.696624
19.550391,9,59.713397
15.475661,8,59.728114
15.127367,6,59.739765
16.263917,8,59.813753
17.385888,9,59.885325
16.078792,5,59.896269
14.937867,18,59.933159
15.201403,13,59.956647
18.625745,11,59.975691
19.083644,16,60.004337
20.190052,12,60.025561
17.628126,7,60.037792
16.667057,16,60.067519
14.298252,6,60.078963
14.979676,5,60.089263
16.553366,11,60.109777
17.379532,7,60.122792
14.852431,7,60.136622
15.609635,6,60.1475
17.746388,14,60.173939
17.959821,7,60.187531
18.121032,6,60.199187
17.362078,6,60.21081
19.163414,7,60.223866
19.063935,6,60.235188
20.194801,14,60.2616
16.736881,8,60.276804
14.922809,12,60.299294
19.127428,9,60.316103
26.545803,26,60.362081
16.377744,6,60.373817
13.151264,10,60.391854
16.801795,8,60.408222
16.42787,5,60.418473
17.779743,6,60.429998
18.321494,8,60.444038
15.026062,5,60.453601
14.348751,7,60.465928
19.726211,8,60.479986
15.976547,15,60.50871
18.198237,7,60.523141
14.582231,8,60.539643
15.443563,6,60.551918
13.320424,5,61.310238
20.051065,9,61.330009
19.230054,9,61.348938
18.352273,10,61.370092
15.28867,10,61.39041
17.579416,8,61.404911
15.736578,5,61.414169
13.179092,10,61.433104
16.777534,6,61.445181
17.388242,10,61.466627
19.879354,8,61.482311
17.654504,6,61.493812
15.330689,6,61.505458
19.767009,7,61.518624
10.715915,10,61.540518
14.074061,6,61.552932
13.103748,7,61.565906
16.311425,5,61.575495
18.669167,10,61.594758
17.325505,7,61.608351
19.875669,9,61.625968
13.940395,6,61.637392
14.110368,8,61.654452
23.558877,12,61.676498
16.708629,6,61.687916
21.011826,11,61.709156
18.187172,11,61.730083
17.834017,12,61.752861
15.952242,8,61.768363
13.558242,14,61.794626
19.071882,6,61.806657
21.423113,13,61.831634
15.333174,8,61.84758
16.586148,8,61.862795
17.370213,8,61.878618
14.87611,6,61.890559
16.322208,15,61.917889
15.735669,11,61.938409
15.005177,9,61.955466
14.933536,11,61.977646
17.123129,17,62.010009
15.746846,9,62.028231
18.072576,9,62.045266
13.014383,14,62.070185
20.018673,6,62.08155
15.03228,7,62.094932
19.758317,9,62.112215
19.341791,6,62.125985
14.513559,6,62.140944
21.481535,9,62.158353
16.066354,9,62.174494
18.401042,7,62.188197
14.932675,7,62.202429
15.564753,6,62.21393
13.553896,6,62.225413
17.271749,6,62.236713
18.052226,6,62.248214
19.029966,6,62.260163
16.861499,7,62.27463
13.085408,9,62.292006
13.556286,7,62.30584
15.898967,7,62.318495
16.881392,7,62.33149
19.937998,13,62.35493
17.530902,11,62.376209
18.691192,6,62.388357
21.496557,9,62.404973
15.769099,6,62.416684
15.467496,6,62.428156
17.635804,8,62.449449
14.103136,8,62.465429
14.073586,11,62.489023
16.08569,13,62.514061
7.773076,13,62.550612
17.882978,16,62.625467
16.493639,5,62.636787
11.459944,8,62.658942
13.654752,7,62.674196
19.29069,9,62.693413
12.623627,7,62.708446
15.759096,6,62.720309
18.315492,7,62.735228
19.455047,12,62.76351
14.052524,15,62.824421
16.63762,9,62.842261
16.408232,5,62.852294
21.705257,15,62.882877
17.64012,7,62.897746
19.866588,18,62.932815
17.657892,24,62.979747
14.597761,6,62.992818
17.411765,9,63.013953
19.2051,10,63.035027
19.03599,11,63.064557
17.080239,5,63.075501
17.863056,7,63.088693
20.538388,9,63.107766
17.577511,11,63.131221
17.458991,7,63.146514
16.944086,15,63.17681
17.826045,13,63.203105
14.597792,6,63.218331
21.382675,10,63.239919
14.852462,8,63.25615
19.546957,19,63.2929
17.02659,6,63.304347
10.702392,13,63.329508
16.434763,5,63.339658
13.699219,7,63.353619
18.979469,6,63.366151
18.792596,6,63.38209
18.86376,7,63.397852
16.803209,6,63.410339
16.652063,7,63.425737
18.584301,7,63.440706
17.722972,17,63.474356
18.019325,7,63.488862
18.127184,6,63.503492
15.952786,6,63.516951
17.887138,9,63.542884
17.827977,8,63.561379
18.470148,10,63.585291
16.852594,11,63.608352
21.714576,22,63.660832
15.602156,6,63.672748
19.125824,18,63.710853
20.045029,14,63.744039
16.159563,7,63.761961
17.500404,6,63.776003
13.564253,16,63.814616
15.557074,5,63.828505
16.951174,8,63.848611
16.848852,16,63.887667
19.715893,7,63.915419
16.175748,12,63.946353
18.879364,14,63.980764
18.139864,6,63.992509
15.456261,5,64.003578
18.485347,8,64.022103
8.698306,11,64.044879
15.424248,7,64.061819
17.434698,15,64.09589
17.992189,11,64.120061
15.740043,13,64.147322
17.878422,17,64.180121
21.97661,13,64.204507
13.9938,10,64.224396
17.521209,7,64.237944
15.760982,22,64.280665
14.013514,12,64.304804
16.823035,8,64.333424
10.190978,13,64.361599
17.078609,5,64.375583
18.045642,6,64.392777
16.952398,13,64.430696
13.19905,14,64.462414
18.423601,7,64.479276
11.165675,9,64.507593
16.320433,9,64.541667
19.989788,14,64.587204
15.959136,5,64.599823
16.575384,9,64.622121
15.800028,10,64.654255
15.628903,9,64.685405
16.124896,7,64.702202
16.884753,10,64.727002
11.127491,7,64.741813
18.274014,7,64.754842
16.04858,5,64.764134
13.341503,20,64.800396
15.93938,6,64.811668
25.885849,16,64.840377
14.031922,6,64.851869
13.721753,6,64.862707
22.905255,13,64.887141
15.96858,8,64.903395
