# {"t_start": 1597490725.952874, "env_id": "HopperBulletEnv-v0"} 
r,l,t
17.603119,13,3.191619
18.307944,12,3.572528
7.70714,15,4.106527
16.278064,5,4.329215
18.307672,8,4.659493
16.773872,6,4.882517
15.228468,5,5.074669
12.565638,5,5.317516
17.729967,8,5.782863
14.717089,11,6.278445
10.724401,11,6.733414
18.190856,9,7.066422
19.090894,7,7.405791
17.625381,8,7.740932
15.69535,12,8.251839
18.846487,17,9.027636
12.696227,8,9.477886
14.577312,9,9.906809
17.649483,9,10.290195
11.793756,8,10.617383
8.110949,11,11.082264
13.601937,9,11.497571
18.439663,9,11.882361
20.307252,10,12.302345
1.981667,30,13.541122
12.638859,7,13.837689
16.818141,8,14.186057
18.363359,13,14.866115
16.285549,15,15.663787
19.557567,10,16.061286
17.917936,7,16.360452
16.030986,12,16.92822
14.570859,9,17.305974
14.885105,9,17.690377
14.429273,13,18.241632
17.720812,17,19.009427
20.265268,11,19.47256
16.621682,7,19.773222
9.847635,9,20.152069
13.167298,12,20.678501
16.488699,7,20.984895
18.019661,9,21.388973
19.839582,11,21.886788
14.201876,8,22.236286
19.003811,9,22.760501
17.731788,10,23.225406
19.414767,13,23.768031
16.565453,9,24.209404
11.916452,7,24.545446
15.127096,15,25.233344
17.162861,6,25.489083
18.301313,8,25.831634
17.316001,12,26.362204
16.3286,9,26.745814
19.204004,7,27.029017
13.535467,5,27.246837
14.02462,10,27.675339
15.187949,5,27.904025
10.903675,11,28.398819
15.646631,16,29.204758
23.74883,15,29.862655
15.142508,13,30.438355
20.347713,9,30.82945
13.0452,13,31.574206
9.997729,9,31.993673
12.29884,17,32.728263
18.36913,12,33.274965
17.713312,10,33.708948
20.369151,10,34.16943
20.669843,15,35.84192
15.53505,12,36.491726
16.71331,8,36.968727
12.450994,12,37.498565
16.297859,8,37.860739
11.373518,16,38.579879
17.181806,6,38.851071
26.631437,16,39.599322
15.757621,6,39.863359
19.914073,12,40.367363
15.882391,9,40.767732
15.197929,10,41.191045
17.899225,15,41.861716
16.954969,9,42.239864
14.263781,15,42.864188
11.497741,9,43.25059
18.448045,7,43.524724
23.430646,18,44.257052
16.466113,14,44.878041
15.415123,9,45.23573
17.975066,13,45.794624
15.961925,5,45.993218
18.451624,12,46.508808
19.881698,8,46.848234
18.44488,7,47.128582
16.865366,10,47.534962
17.681277,14,48.073339
15.280338,7,48.090985
17.536577,7,48.105652
17.960307,7,48.121994
14.673444,7,48.198775
16.545021,9,48.217587
18.578826,14,48.289548
16.114423,6,48.302501
16.431885,11,48.374782
15.037306,5,48.38521
15.028339,9,48.404828
17.807807,6,48.418315
20.869921,19,48.470933
18.77429,12,48.493278
18.062687,13,48.517045
17.350781,10,48.53497
17.708742,5,48.546172
16.07175,7,48.562057
13.960792,8,48.577062
14.437777,7,48.590343
16.643084,17,48.622926
16.372796,12,48.644014
18.300115,8,48.658377
14.00584,6,48.669418
18.804495,17,48.699434
15.083144,12,48.720433
16.120363,7,48.733303
14.794161,9,48.750247
14.673365,8,48.766244
23.849662,14,48.792727
11.755325,16,48.825002
17.779446,8,48.843365
10.817621,10,48.861952
16.69291,9,48.878405
14.728567,9,48.89425
12.21496,9,48.910808
17.068329,9,48.926424
14.817809,14,48.951179
17.708983,8,48.965806
17.177321,6,48.976781
14.540142,7,48.989546
23.383159,18,49.021935
11.177434,8,49.036622
17.387194,10,49.056179
18.511276,12,49.079973
17.67707,9,49.097444
20.6957,8,49.114125
17.993558,6,49.126703
16.991158,9,49.145656
10.97494,10,49.163406
16.517782,14,49.189573
11.668447,7,49.202034
17.021413,7,49.214129
15.427784,17,49.246861
14.982321,9,49.263125
14.097748,9,49.279522
18.864338,7,49.292215
18.588239,14,49.317226
19.110958,7,49.330975
19.326216,14,49.357866
17.447578,9,49.374148
14.722434,9,49.393144
16.623552,11,49.416069
17.502845,7,49.428475
12.75107,5,49.437542
17.380572,10,49.456051
10.79127,7,49.474095
14.538522,7,49.486655
14.17175,7,49.498974
14.007509,12,49.538171
18.963762,10,49.567033
19.244562,20,49.608077
18.795944,10,49.625513
19.469275,11,49.64607
16.569198,8,49.661472
14.867139,6,49.672561
14.363691,6,49.683469
14.081695,14,49.708159
18.086893,10,49.725734
14.809689,6,49.736064
18.428868,15,49.761694
19.494282,11,49.780812
11.139673,8,49.794857
18.251705,22,49.832922
17.385344,9,49.84986
17.254651,19,49.893947
12.175286,8,49.909024
16.158207,10,49.927644
16.597224,10,49.945996
15.630731,10,49.965549
16.547998,11,49.984951
19.546161,8,50.000916
14.360265,12,50.022996
16.056009,12,50.044115
15.957363,12,50.064723
16.559958,8,50.080591
17.148867,16,50.112876
17.136329,16,50.143674
12.55005,14,50.170837
9.63489,7,50.184301
11.974428,18,50.219247
17.138822,9,50.236825
18.368844,11,50.272999
15.46338,13,51.161691
16.747619,6,51.174503
13.723587,11,51.195295
12.176004,13,51.218746
15.398908,9,51.234601
13.577418,8,51.257918
15.287378,17,51.296059
17.077317,9,51.313454
22.938306,13,51.353998
14.340945,7,51.378088
17.793119,6,51.390861
15.979865,8,51.407942
9.897033,16,51.458957
17.600796,6,51.470873
13.451447,5,51.480265
17.404039,11,51.500948
17.647918,13,51.524966
15.083942,8,51.540074
14.158709,6,51.55129
18.293587,10,51.569363
15.983482,9,51.585875
18.421566,8,51.601132
16.971329,9,51.617888
24.137893,21,51.656104
18.523833,13,51.680156
14.767593,7,51.692828
22.303924,12,51.71437
15.814776,5,51.723849
16.415188,7,51.737254
16.148219,7,51.752076
20.240891,11,51.773729
18.584723,10,51.794768
13.410957,12,51.819067
12.759605,8,51.837142
19.399339,10,51.856202
18.021424,8,51.869454
18.092819,7,51.882027
18.627878,9,51.899083
16.244643,5,51.908283
17.314955,6,51.91964
14.396736,8,51.934479
13.669237,7,51.947687
11.517411,8,51.962618
15.330089,8,51.978004
8.991557,18,52.009685
21.035407,21,52.046704
16.930554,6,52.057823
17.703899,17,52.087608
16.769408,9,52.104053
14.2938,6,52.115179
11.523241,11,52.14165
18.40703,6,52.154884
15.973117,9,52.174533
18.448208,8,52.19365
15.839366,5,52.203641
15.018522,12,52.224643
16.703962,8,52.239752
18.182793,15,52.267908
16.017704,13,52.29046
18.807223,8,52.305261
14.156335,14,52.33332
15.883922,6,52.344818
16.281296,8,52.361723
17.554975,9,52.379071
18.352646,8,52.404937
16.763405,11,52.443441
16.047641,15,52.474493
14.971624,8,52.493929
14.964136,10,52.514344
16.403021,9,52.531055
16.421185,8,52.545986
18.159617,6,52.557567
17.533076,12,52.578731
19.206929,9,52.596058
16.049563,7,52.609714
18.078314,8,52.631853
16.394614,5,52.644083
18.762142,18,52.684071
16.913661,8,52.70405
18.325013,11,52.726709
15.554762,16,52.757472
6.084541,8,52.771476
15.969144,7,52.784067
18.904197,14,52.80856
15.326193,6,52.819633
14.552118,8,52.834155
18.324204,7,52.846945
17.359486,6,52.858259
16.213925,5,52.867191
21.373168,18,52.898442
14.64867,14,52.922797
16.997041,5,52.932239
17.164536,7,52.944835
17.644275,6,52.95686
14.770723,12,52.981004
20.734238,12,53.002942
17.318201,8,53.017342
13.330656,13,53.044977
14.898004,7,53.059238
20.811338,17,53.091402
10.996128,12,53.112937
15.038975,7,53.130098
17.303861,14,53.171581
12.908317,6,53.185555
16.362023,7,53.208179
14.909709,5,53.218191
15.775598,7,53.23123
14.327691,5,53.240787
18.218665,13,53.263042
10.210619,6,53.274512
16.407453,7,53.287475
18.164819,7,53.300047
16.531784,9,53.316037
16.425178,12,53.337076
18.790468,10,53.354932
16.607274,7,53.367978
15.739725,6,53.379177
16.947249,5,53.38861
16.505927,6,53.399295
9.156549,10,53.417432
14.103886,6,53.428185
16.902868,10,53.446211
14.002078,7,53.458935
16.791947,10,53.477743
19.719417,15,53.510553
18.610016,16,53.542026
27.255003,20,53.581448
19.789498,7,53.596774
20.221226,13,53.628381
14.471603,5,53.640301
16.510526,6,53.652896
20.570054,14,53.687085
18.756325,7,53.71239
17.495409,13,53.741387
17.992165,13,53.767662
23.052618,22,53.81204
16.077629,5,53.823686
15.05607,10,53.842896
16.287085,10,53.862335
11.935582,11,53.884372
15.289456,9,53.901061
12.621122,7,53.914576
14.994671,6,53.926124
19.086901,7,53.938458
