eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
10.26,16.24444176,42,0.0072229793,0.09311523,4.2384353,-0.012613909,40.624428,-0.015277981758117676,1,2048,48.348149959000004,2048
9.85,16.67369966,414,0.0070004677,0.08623047,4.197505,-0.012594245,41.342648,0.014576196670532227,2,4096,53.294611456,4096
8.96,16.52595572,393,0.0048865727,0.04902344,4.145799,-0.007175182,38.100548,0.08643704652786255,3,6144,58.503765428,6144
8.79,16.479923830000004,399,0.0069444925,0.08046875,4.0905485,-0.0104928445,35.45823,0.14267784357070923,4,8192,63.635761486,8192
8.62,17.23498781,453,0.005288913,0.052685548,4.026133,-0.00741279,34.185818,0.24617689847946167,5,10240,68.15461329600001,10240
8.18,17.137844519999998,458,0.0059787175,0.062597655,3.9579792,-0.007830885,28.422543,0.35107487440109253,6,12288,72.617688725,12288
8.1,17.086093660000003,418,0.005470836,0.053515624,3.8823292,-0.0073379623,24.987562,0.4243720769882202,7,14336,77.51381220300001,14336
7.54,17.72687397,388,0.005916665,0.060009766,3.8190174,-0.009204758,24.122995,0.48952746391296387,8,16384,82.78382494499999,16384
8.21,17.79240685,426,0.008514537,0.105322264,3.7475224,-0.012917089,20.917469,0.5355188846588135,9,18432,87.581886932,18432
8.23,18.499226909999997,430,0.0075439764,0.08847656,3.681911,-0.009953478,19.523342,0.5830700099468231,10,20480,92.344169873,20480
8.9,18.74424656,427,0.008290585,0.10986328,3.616455,-0.0120959915,17.636366,0.6086373329162598,11,22528,97.130795001,22528
9.39,19.6175716,439,0.007870829,0.099169925,3.560971,-0.010563021,15.12886,0.6619560122489929,12,24576,101.789903025,24576
9.51,19.372607900000002,453,0.0095955,0.12631837,3.509175,-0.013306339,13.533762,0.6746443510055542,13,26624,106.310036911,26624
10.13,19.952052350000002,443,0.008748923,0.09990235,3.4352794,-0.012581979,14.016638,0.6960342824459076,14,28672,110.92823952699999,28672
12.44,21.61693979,445,0.008907869,0.12041016,3.3567398,-0.015089151,15.791202,0.6633909940719604,15,30720,115.52267867200001,30720
13.47,22.018401059999995,364,0.0065045184,0.07856445,3.2991543,-0.009336696,14.605838,0.6565363109111786,16,32768,121.14526734200001,32768
14.2,22.791955710000003,443,0.008614717,0.12431641,3.243344,-0.01420592,15.536612,0.6812185943126678,17,34816,125.76808379900001,34816
16.31,24.88595478,474,0.009194912,0.12695312,3.19233,-0.013141906,19.965704,0.6530186235904694,18,36864,130.08212015700002,36864
20.36,27.407694810000002,465,0.009965164,0.13740234,3.135862,-0.016856749,21.391182,0.6169737875461578,19,38912,134.478445827,38912
23.65,30.88586602,472,0.0081152525,0.10288086,3.083872,-0.012159662,27.45156,0.5994915664196014,20,40960,138.81802669,40960
