eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
10.76,15.683863889999998,86,0.008204861,0.11020508,4.235839,-0.012771378,37.739616,0.04292517900466919,1,2048,23.613210959,2048
9.33,16.581429080000003,941,0.0072835097,0.07978515,4.169822,-0.0106477495,38.888374,0.10531914234161377,2,4096,25.789543891,4096
9.94,17.15256772,963,0.007533333,0.09282227,4.0787024,-0.012996832,37.335426,0.18277615308761597,3,6144,27.915834632,6144
9.59,17.317159949999994,957,0.006111377,0.06484375,3.9921792,-0.0099557405,34.400932,0.2519587278366089,4,8192,30.054291939,8192
8.28,17.042160770000002,956,0.0076841787,0.10249023,3.942747,-0.012401502,32.477905,0.32736945152282715,5,10240,32.195259726,10240
8.88,16.823066670000003,953,0.00867919,0.107421875,3.903052,-0.012889194,27.331263,0.39599907398223877,6,12288,34.343445237000005,12288
8.0,18.02670011,883,0.007808675,0.09423828,3.845869,-0.010055647,27.20309,0.45555031299591064,7,14336,36.662180002,14336
8.0,17.5078884,846,0.005639147,0.058789063,3.7819912,-0.007998111,23.356531,0.5103614628314972,8,16384,39.08103563,16384
8.09,17.95932582,944,0.0056095775,0.058642577,3.7120895,-0.0068251216,21.540926,0.5448383688926697,9,18432,41.249788385,18432
8.56,18.85660074,949,0.008921562,0.1125,3.6449437,-0.012715513,19.436428,0.5992858111858368,10,20480,43.406240016000005,20480
9.92,19.144481029999998,947,0.0061917063,0.06416015,3.5653615,-0.009715643,18.231998,0.6047545969486237,11,22528,45.567916596,22528
10.74,19.292398509999998,959,0.0067874924,0.07739258,3.4947236,-0.008234717,14.914503,0.6348976194858551,12,24576,47.702652098,24576
10.78,19.909995859999995,961,0.0079879025,0.083300784,3.4222362,-0.013964152,17.598118,0.5790382325649261,13,26624,49.832055848,26624
14.54,22.44129537,961,0.007934829,0.09868164,3.3402514,-0.011682854,19.750198,0.5591139495372772,14,28672,51.962598538,28672
14.21,22.639980720000004,969,0.009089025,0.119824216,3.28059,-0.012921858,21.608082,0.5657778680324554,15,30720,54.074971887000004,30720
20.15,27.049778319999994,965,0.0074037844,0.09350586,3.2343915,-0.011288887,26.454199,0.48616641759872437,16,32768,56.195685004000005,32768
23.57,29.06573125,983,0.007303196,0.09770508,3.204373,-0.011745015,26.554132,0.42982566356658936,17,34816,58.278023293000004,34816
27.97,33.17581842,974,0.008669635,0.106982425,3.1575494,-0.014594758,31.669434,0.4857622981071472,18,36864,60.379713992999996,36864
32.35,36.731675020000004,987,0.0065289177,0.078710936,3.1074612,-0.008320261,31.979105,0.4766106605529785,19,38912,62.454546753,38912
37.15,40.57992964,978,0.008201992,0.10253906,3.0627694,-0.012490949,36.48936,0.4698820114135742,20,40960,64.548491607,40960
