# {"t_start": 1597501001.116909, "env_id": "HopperBulletEnv-v0"} 
r,l,t
17.707512,7,0.861315
16.411113,8,1.035297
10.662783,7,1.193231
15.847981,10,1.421373
21.386435,13,1.704302
15.570243,5,1.812781
12.046856,13,2.103245
21.433102,20,2.54424
22.016352,11,2.785872
18.15458,14,3.098635
15.850307,8,3.274301
18.103303,9,3.471472
18.99983,12,3.738982
11.267357,9,3.93706
17.013046,6,4.074569
19.156766,16,4.426941
19.334382,10,4.649641
16.627146,15,4.983046
7.737152,14,5.295099
13.070763,9,5.495408
14.084704,11,5.737324
15.383801,14,6.048514
16.776939,5,6.158527
21.163342,12,6.420653
18.842287,8,6.597593
19.032664,8,6.772712
18.575608,14,7.120699
12.566033,11,7.408307
16.458653,7,7.578844
17.405547,8,7.755348
18.500641,10,7.97801
15.987817,13,8.270264
17.572821,8,8.445595
16.856624,9,8.646107
21.327935,17,9.02115
14.892483,18,9.416759
6.784844,10,9.641035
11.834635,11,9.881985
25.861071,24,10.411197
18.394038,10,10.632112
14.166839,6,10.766128
14.029117,10,10.988035
15.822693,12,11.254741
15.157694,8,11.428361
16.116778,13,11.715252
11.340806,10,11.933572
16.2835,11,12.179794
10.023141,8,12.354963
18.082099,12,12.615175
12.118099,9,12.813366
11.583208,13,13.103081
16.713453,5,13.213372
19.486825,11,13.454094
16.993087,9,13.650619
13.893304,9,13.846654
18.339501,14,14.155332
17.053366,8,14.336116
14.265465,5,14.451153
17.223835,6,14.583118
15.959297,9,14.779125
17.067234,8,14.955782
15.911222,6,15.091594
22.051004,26,15.661725
13.251767,13,15.947263
16.945084,11,16.194628
14.218643,10,16.411761
19.123151,12,16.672015
14.281738,7,16.824356
17.721217,14,17.134024
17.491896,11,17.372242
15.760449,7,17.525078
19.262619,8,17.700986
15.643165,11,17.946003
11.121536,11,18.189352
9.09316,12,18.454286
14.735271,12,18.715575
15.038522,6,18.846385
17.89705,7,19.000766
16.389142,6,19.137736
15.92403,9,19.335412
22.198331,16,19.689206
15.032726,11,19.929926
12.784694,12,20.196583
7.564185,13,20.479816
16.056712,6,20.610247
16.172287,10,20.828087
7.829144,24,21.358706
15.541325,9,21.554904
14.425868,17,21.926577
17.716598,9,22.127327
13.547575,11,22.365236
6.518681,15,22.692154
23.048176,25,23.000955
15.000131,12,23.018808
17.059816,8,23.029923
18.122593,13,23.044593
14.380406,9,23.056691
18.091242,12,23.071467
11.255376,11,23.081564
13.287972,11,23.092706
19.383403,8,23.099761
16.029738,10,23.109049
14.284802,10,23.117894
11.686731,10,23.126835
13.41991,7,23.13293
14.203876,5,23.137787
14.386309,6,23.143379
15.738287,15,23.159028
10.646381,10,23.168661
18.570344,18,23.184455
14.192572,9,23.192097
18.176792,9,23.200362
12.621977,8,23.207708
16.452265,7,23.213985
13.166736,10,23.222992
16.750569,8,23.230029
13.696211,9,23.238067
15.250059,5,23.242758
17.581021,13,23.254283
19.249993,11,23.263696
11.657304,10,23.272051
18.5158,18,23.287816
15.912241,10,23.296678
18.095887,8,23.303962
14.36586,11,23.313247
11.150003,12,23.323853
14.924486,10,23.332568
21.820608,16,23.346493
15.017064,8,23.353458
19.475222,14,23.365662
13.094972,14,23.377235
17.914331,6,23.382339
17.01944,11,23.391748
19.812422,15,23.405454
19.288724,17,23.419758
9.778278,14,23.431617
19.436919,8,23.438471
11.329588,9,23.446448
17.205436,19,23.463024
16.253669,13,23.474959
16.679625,12,23.485116
8.973676,13,23.496464
16.923071,7,23.502508
15.936173,13,23.513794
13.915122,8,23.520971
17.786319,6,23.526098
15.027147,9,23.534009
18.778437,7,23.54018
15.604308,11,23.550023
14.388484,7,23.55695
16.626241,10,23.565182
21.41255,9,23.57315
18.695158,15,23.585953
6.22964,12,23.596249
17.061268,10,23.605309
19.17287,7,23.611752
12.566068,8,23.61873
17.545088,9,23.626434
16.914046,12,23.636954
12.839681,5,23.641906
16.389442,8,23.649218
17.002176,7,23.655331
19.15678,12,23.66536
15.588532,9,23.67376
16.614133,9,23.682039
16.451752,7,23.688675
14.953483,13,23.70005
19.275724,21,23.717649
15.4168,6,23.722941
16.24709,10,23.731827
17.633442,9,23.740044
16.508371,11,23.749156
19.113821,10,23.757639
12.561743,13,23.768768
13.112599,14,23.780469
12.710163,5,23.785057
16.571482,5,23.789472
16.343072,10,23.797963
18.070351,11,23.80846
16.098707,6,23.813837
16.347433,14,23.825176
10.742649,14,23.837538
11.016799,19,23.853575
24.003501,19,23.869364
18.624146,6,23.874831
15.925153,10,23.8832
9.244078,9,23.890978
14.12217,6,23.896565
17.003131,21,23.913666
14.594496,14,23.925658
13.728721,8,24.321611
10.76961,16,24.337149
14.352488,8,24.344469
16.333472,11,24.354666
19.003088,8,24.361516
9.130941,11,24.371234
20.178315,14,24.383063
12.479483,6,24.388431
19.751479,14,24.400551
16.793161,16,24.413792
20.594796,9,24.421477
18.2676,10,24.429939
15.7902,12,24.440055
12.991461,5,24.444638
16.939248,6,24.45023
14.536633,9,24.457946
27.155983,22,24.479665
9.245658,11,24.491576
13.437557,19,24.507796
16.600242,8,24.514783
14.965896,17,24.529039
15.50673,6,24.534208
14.665003,8,24.541052
13.943125,12,24.552436
17.662469,12,24.562451
11.731629,9,24.570455
19.476463,9,24.578897
17.999242,13,24.595717
18.147121,16,24.610398
16.217344,5,24.614791
13.610957,7,24.620785
22.106787,18,24.640029
8.674439,12,24.653725
15.517053,10,24.66301
16.751405,13,24.674147
16.281286,13,24.685681
17.354915,6,24.690964
17.59044,6,24.696258
16.416845,10,24.704532
15.494278,8,24.71111
18.868211,12,24.721006
18.179771,11,24.730485
12.341318,9,24.738133
17.384979,7,24.74432
17.930427,7,24.750375
16.181718,7,24.756622
15.072317,6,24.762288
16.251188,10,24.771055
16.530389,7,24.777429
14.562743,6,24.782882
20.397059,12,24.792929
13.442146,8,24.800084
11.595353,11,24.809645
17.618768,6,24.814749
13.489221,5,24.819405
15.749185,14,24.831507
10.648308,8,24.83884
18.411072,10,24.847124
11.876931,8,24.853945
17.299663,6,24.859295
16.746833,9,24.867231
17.278028,7,24.873342
18.839827,9,24.881092
15.197861,9,24.888581
14.792127,5,24.892964
15.995951,5,24.898701
16.304869,10,24.907462
14.351933,5,24.912161
20.195604,11,24.921485
13.927221,12,24.933751
15.676586,5,24.939513
17.277201,7,24.946837
15.475135,8,24.954467
15.127474,6,24.959842
17.665371,8,24.966773
20.332567,8,24.973702
14.795635,8,24.981155
10.943883,11,24.99245
