# {"t_start": 1597490725.95314, "env_id": "HopperBulletEnv-v0"} 
r,l,t
19.711637,10,3.095682
19.466695,14,3.519005
11.836694,12,3.945165
16.405392,5,4.127636
15.843511,13,4.677638
14.615098,12,5.128568
15.792436,12,5.827065
13.955967,6,6.080443
14.593923,14,6.715512
21.08096,9,7.048888
15.302439,12,7.586889
12.278824,8,7.918338
15.024186,7,8.206752
13.226671,10,8.693432
21.36398,10,9.158289
20.448231,19,10.085485
11.672754,12,10.583776
9.175017,15,11.261006
13.274973,7,11.551336
10.995936,20,12.402197
22.40539,15,13.070816
11.044205,11,13.543755
17.764805,8,13.893003
16.095633,8,14.228677
14.114782,10,14.756041
14.037864,7,15.180841
15.878494,9,15.625491
16.684688,12,16.091571
11.718939,10,16.512719
12.585696,12,17.099505
21.075128,18,17.861785
17.315951,8,18.203413
15.511728,15,18.891277
14.313703,5,19.097623
15.307137,6,19.342579
14.796596,14,19.946909
17.938105,7,20.254714
18.804753,13,20.821806
12.017361,10,21.270366
13.451132,12,21.817535
13.503708,12,22.410132
20.454321,11,22.985124
14.856016,12,23.499006
12.992935,14,24.123226
17.313407,9,24.575706
12.864636,10,24.990603
16.979318,6,25.294584
20.536863,10,25.730152
17.659741,8,26.070797
19.832544,8,26.417614
15.374691,9,26.807855
22.417881,9,27.178637
17.379254,6,27.441805
18.156351,9,27.819149
17.442379,10,28.281002
20.37317,19,29.22474
14.550963,7,29.522474
16.92067,9,29.923209
14.702149,13,30.483815
16.751652,8,30.847987
16.39484,17,31.758493
15.988266,9,32.151551
18.372068,7,32.457185
14.765801,9,32.843704
13.481643,13,33.436203
18.129557,15,34.134365
22.562202,15,35.664302
14.000999,10,36.342241
18.496329,10,36.902622
16.314976,7,37.232829
15.615829,7,37.533528
18.00598,12,38.05812
15.151603,10,38.527838
18.453886,12,39.060155
16.361731,6,39.331276
16.813734,6,39.634488
15.096248,14,40.238655
20.363422,16,40.904459
17.624439,17,41.641877
16.48145,22,42.580887
16.238765,9,42.964523
14.07112,7,43.258024
15.089051,7,43.538559
16.047998,7,43.836304
15.468988,6,44.071906
14.301966,8,44.408127
18.848454,6,44.659341
19.030787,12,45.194964
17.173578,6,45.434149
19.658964,7,45.742344
14.688461,7,46.023616
16.253809,7,46.310595
19.492578,15,46.970984
11.391925,10,47.374984
20.431217,9,47.719449
20.186124,10,48.23381
21.591248,8,48.247566
17.208334,6,48.257787
23.618904,24,48.305961
17.327699,10,48.326095
16.416206,15,48.358912
19.622497,12,48.472509
15.264809,6,48.48513
16.000615,12,48.506131
16.409193,19,48.539
16.215079,9,48.55546
19.008367,8,48.57092
17.339193,12,48.592817
19.442616,13,48.616459
21.17003,16,48.644138
19.078228,10,48.661725
15.251648,8,48.676359
10.335036,17,48.706782
11.848319,22,48.746413
18.466014,12,48.768545
13.984556,10,48.787301
29.892129,29,48.838248
14.574165,7,48.851299
17.813204,24,48.894511
14.762277,15,48.921117
18.588275,10,48.938908
19.161277,8,48.954556
8.861651,19,48.989226
12.355971,9,49.004905
14.796456,12,49.025787
13.90015,12,49.047846
17.463856,11,49.071755
17.868568,8,49.08666
15.378682,17,49.121467
16.034739,10,49.140135
15.79145,16,49.169425
12.03227,16,49.198197
14.644502,12,49.219365
18.944254,7,49.231988
11.849583,13,49.257096
21.098457,12,49.2778
15.35788,8,49.291922
10.237385,21,49.330111
13.879623,5,49.340119
15.855489,14,49.366173
6.707545,23,49.410817
25.326777,19,49.44457
14.486784,14,49.476547
17.685417,15,49.501702
19.074077,8,49.518536
15.8396,9,49.537063
21.183248,21,49.579541
18.932594,11,49.60047
14.628908,17,49.630531
15.315597,8,49.645043
21.579249,12,49.667357
20.080953,8,49.682294
17.596843,15,49.709434
14.096506,7,49.722144
12.567919,8,49.736115
13.871052,9,49.752389
21.423769,13,49.776083
13.696976,8,49.79084
11.68676,23,49.830995
14.387569,13,49.86497
19.349076,10,49.891827
15.024024,8,49.907748
17.194152,7,49.921276
20.287363,11,49.940537
18.81585,15,49.968183
16.506573,5,49.977748
15.309443,7,49.990888
18.285945,13,50.014815
14.23787,5,50.024837
11.836263,14,50.050052
17.526542,11,50.070385
16.776986,8,50.084679
11.349398,13,50.108759
16.832532,10,50.132605
12.508998,15,50.169174
17.925749,8,50.189673
