# {"t_start": 1596282189.3178666, "env_id": "Hopper-v2"} 
r,l,t
24.502128,34,12.977785
13.26517,15,16.674222
9.677903,15,20.361132
8.842609,14,23.991899
7.776157,13,27.335149
6.963889,16,30.570907
62.941337,52,42.575768
7.640692,12,45.632604
10.954163,14,48.560562
13.120519,14,51.738476
8.106245,10,53.8527
14.626614,21,59.154962
9.184695,15,62.585822
27.163355,30,70.259782
10.983611,12,73.070769
5.503624,10,75.930038
8.657967,11,78.709162
59.187977,44,88.115494
7.901702,10,90.961251
18.433421,28,97.677706
6.298599,9,100.030538
10.019469,20,105.19268
4.440496,16,109.051137
30.272281,37,118.054165
23.444308,22,123.003773
24.037348,23,128.580054
7.375517,14,132.217772
6.331487,9,134.283572
4.880361,14,137.630563
16.124785,23,143.115858
9.60956,15,147.043596
24.573761,22,152.929679
9.082684,11,155.892874
23.710544,34,163.143037
7.645823,28,170.73071
11.290477,18,174.905642
24.468661,31,183.609368
11.433143,18,188.363081
14.589152,15,191.444002
52.394569,39,201.587042
11.315697,13,204.87734
7.950579,18,209.658479
7.330932,18,214.133375
7.820359,13,217.633522
14.721184,16,221.621623
39.577596,31,230.023128
15.620657,31,238.228201
38.637369,30,245.948494
19.060487,20,251.781865
8.335219,11,252.956895
5.668413,9,253.197905
9.290278,25,253.680588
9.32392,16,253.905125
5.690847,11,254.060335
10.707436,14,254.297902
14.458229,18,254.613958
14.094317,20,255.077493
15.436963,31,255.787813
6.293151,10,255.977304
7.445585,13,256.231911
9.147624,19,256.617472
11.61177,16,256.919787
20.95612,27,257.37838
13.985645,25,257.949325
20.015274,33,258.552263
12.043439,14,258.813467
15.702464,18,259.173756
13.275675,14,259.467405
19.778297,25,260.097807
155.818215,79,261.625998
8.787969,15,261.947559
6.125272,8,262.118228
7.617917,11,262.429447
8.6025,21,262.870533
6.253419,12,263.125301
45.717506,43,263.929111
10.912798,13,264.164232
25.24649,24,264.715352
7.410563,15,264.972241
5.508848,8,265.173416
9.897796,17,265.42697
8.457357,14,265.72767
14.027798,32,266.388907
14.490042,19,266.902683
6.204222,15,267.203678
4.718711,7,267.37324
58.279696,54,268.330935
20.901661,20,268.811437
13.396465,15,269.116067
19.522408,19,269.343651
11.601257,21,269.629342
14.786732,15,269.784655
7.378544,9,269.945493
31.747056,25,270.357746
16.099755,26,270.735579
9.081755,13,270.915403
11.237674,14,271.143502
12.269017,14,271.43637
23.090788,46,272.096804
9.818331,16,272.329603
26.419511,29,284.769192
25.756045,25,285.154444
12.915778,15,285.478074
20.650414,22,285.948603
18.083057,17,286.314725
20.038554,25,287.057423
22.145699,21,287.470192
6.575561,11,287.75964
30.841327,33,288.518212
22.517718,19,289.053755
9.778267,17,289.435398
107.137619,74,291.135047
43.807461,39,292.131124
25.232663,21,292.583644
8.146769,10,292.758476
17.015363,21,293.173804
107.779676,59,294.745279
13.282365,16,294.904911
13.765575,21,295.510503
9.552409,19,295.977566
14.773481,21,296.32283
17.125799,18,296.636768
11.804702,16,296.983783
5.862725,13,297.266937
8.081362,34,297.877199
14.498359,26,298.477324
8.06104,12,298.832526
4.458835,13,299.218412
23.885215,25,299.814678
15.640206,16,300.145538
18.982964,28,300.965124
76.946684,50,301.462696
5.117532,8,301.511864
7.886814,11,301.638811
26.231125,31,302.285569
28.110922,24,302.815098
26.590618,26,303.321265
6.560177,20,303.707694
61.995016,65,304.409469
10.269088,21,304.891157
8.085638,10,305.126454
9.955983,12,305.490536
48.093095,42,306.400205
25.253616,25,307.097229
19.201302,17,307.298581
8.111311,15,307.653687
14.606652,18,307.935872
10.900778,12,308.042822
8.153058,19,308.3453
60.062897,36,308.976738
10.755775,16,309.473724
22.369392,28,309.832847
17.304978,20,310.155279
72.671382,47,310.837027
21.803369,27,311.573095
28.721693,40,312.34749
12.145064,16,312.716934
6.763587,13,312.957677
6.809021,14,313.213168
9.1986,21,313.542217
10.907286,12,314.004141
9.465496,20,314.318088
12.433864,31,315.104725
9.443533,12,315.501211
70.404148,42,316.642373
10.979403,15,317.033857
67.069188,60,318.683351
11.57105,15,319.045815
7.625674,16,319.493169
19.0566,25,320.07431
16.738614,32,320.623022
73.578626,50,321.883739
13.185325,14,322.072228
32.086961,25,322.729493
12.061658,13,322.944539
24.230833,23,323.49073
11.299183,17,323.67529
38.75985,42,324.377967
16.358803,17,324.948687
8.124554,10,325.101996
66.519812,55,326.233185
17.785474,16,326.342285
26.174122,24,326.597788
32.969077,33,327.24261
19.683952,19,334.416127
17.230356,29,335.109399
152.597753,82,337.074041
31.924489,35,337.865496
145.023631,92,340.30142
79.068636,60,341.158096
6.965452,12,341.393252
57.055206,56,342.820473
10.399047,23,343.242202
78.573648,54,344.645639
7.000094,9,345.069421
136.29427,75,346.766474
16.523482,15,347.2896
32.764603,27,347.89322
159.801244,114,350.860808
13.638403,17,351.370179
22.897057,31,352.140302
7.094662,13,352.494352
7.058201,9,352.715961
10.101233,12,352.95024
8.142365,11,353.196639
12.237706,17,353.589403
29.141044,24,354.073541
13.763736,18,354.45075
100.768434,59,355.697738
12.30539,15,356.257508
14.999889,18,356.843637
35.173079,43,358.105693
22.21444,20,358.615669
49.074265,39,359.681022
32.374829,43,360.89252
12.50238,15,361.195196
23.781657,33,362.003507
36.596593,42,362.638306
14.252407,16,363.145292
8.46303,10,363.330793
9.559506,11,363.522944
14.205174,24,364.061196
87.747963,68,365.979661
27.21751,24,366.68668
11.592108,23,367.409465
112.144235,73,369.713285
27.934028,29,370.310878
6.684455,8,370.527067
12.266484,16,370.93507
18.829804,18,371.388496
24.125328,35,372.12228
9.51439,18,372.422728
18.770347,19,372.686081
10.504075,13,372.826021
6.987747,10,372.910924
14.239807,19,373.242666
21.972808,27,373.766942
40.830728,30,374.612306
14.096899,17,374.903739
9.59741,14,375.097003
16.883383,19,375.303308
41.277825,35,375.73795
27.890298,24,376.341873
45.320405,58,377.898319
12.544029,16,378.060424
70.294505,46,379.145516
16.791523,19,379.48383
5.113149,11,379.735752
14.244408,18,380.187943
30.971559,37,381.155597
142.220531,73,388.131576
86.289972,49,389.11968
48.517879,64,390.479099
15.58847,15,390.823157
86.033032,54,391.973037
46.633654,57,392.961741
9.47895,18,393.293202
57.782353,54,394.387932
127.652371,71,395.208146
106.807858,58,396.444891
4.53641,8,396.595697
83.267757,53,397.875386
12.090863,14,398.166982
60.29176,35,398.958268
55.463098,39,399.68725
12.286873,13,399.946132
9.526623,13,400.197788
17.542095,17,400.586064
82.791974,47,401.633795
6.961598,9,401.806286
37.214422,50,402.698725
22.588465,27,403.326872
15.786451,21,403.749522
118.98371,73,405.070781
33.140736,33,405.762683
22.640314,44,406.597492
139.642006,80,408.14388
115.194097,62,409.317163
132.283683,85,411.110022
81.537434,47,412.162208
187.019515,145,415.145048
9.641572,11,415.252481
6.851719,9,415.337312
8.234847,15,415.734407
9.970498,12,415.985447
154.541337,77,417.689101
11.892134,15,418.125468
74.977679,46,419.328501
9.747849,16,419.641502
192.694788,111,422.094767
86.126266,69,423.814339
116.475891,92,425.742455
98.413245,58,426.829613
36.498279,28,427.417468
84.251504,51,428.557426
95.784257,53,429.533513
124.07202,67,438.029781
163.962111,84,439.780838
184.0396,98,442.361367
112.517831,61,444.071189
66.182327,39,445.189028
126.839776,72,446.911244
108.875552,59,448.234319
124.073095,76,449.958473
125.970089,71,451.411435
97.555483,56,452.627816
137.182775,70,454.171093
8.928369,13,454.605186
144.573987,72,455.896234
19.670848,19,456.327737
42.460301,31,457.112215
82.474081,60,458.495287
86.291595,49,459.690051
117.63438,71,461.400102
113.820923,67,463.003914
51.085154,42,464.050049
127.050302,67,465.71729
149.464539,73,467.308957
163.010643,93,469.290579
198.303153,129,472.160686
207.3145,95,474.253082
100.924783,55,475.625837
188.472886,118,478.40876
49.779349,30,479.144057
81.147494,59,479.934971
82.087803,48,480.753416
89.002953,53,481.927087
107.106921,65,483.195809
113.711497,59,491.052978
134.074521,67,492.106064
159.935383,85,494.015714
75.183019,50,495.238403
99.703611,56,496.435905
102.162548,61,497.995817
115.696797,65,499.347354
62.112786,36,500.233329
111.824138,59,501.590441
239.109915,108,503.270715
110.805772,60,504.547146
215.325963,95,506.874074
173.384613,80,508.950711
167.714462,89,510.937922
90.90278,52,512.047065
176.932439,86,514.038817
139.897125,70,515.634975
162.69245,82,517.680771
76.845801,43,518.651832
60.591124,37,519.495178
52.364867,32,520.153283
141.651193,69,521.755399
198.540362,99,524.035791
69.804345,41,524.974783
159.388888,77,526.826061
201.994649,89,528.967248
27.789271,24,529.600182
214.902369,96,531.862554
115.10564,61,533.163283
107.439839,57,534.370491
81.984162,50,535.475531
198.018699,93,543.762797
107.026911,58,545.053781
105.775219,57,546.550258
204.916887,92,548.677413
83.092613,49,549.821895
158.844367,90,551.609091
205.216166,92,553.34041
199.183867,95,555.092694
208.563852,95,557.369152
155.584461,75,558.925475
73.323732,42,559.859752
206.462814,92,561.952195
212.259322,97,564.330768
214.798848,94,566.640708
151.717523,83,568.207628
75.109941,44,569.400764
84.073304,51,570.731961
117.132245,61,572.296943
150.016255,79,574.191468
109.81325,59,575.628665
95.423765,63,577.012915
100.461498,54,578.174751
203.41466,91,580.272244
206.708751,103,582.649911
175.24931,87,584.494242
204.458115,92,586.748271
101.328355,56,588.239668
215.260348,93,597.731281
120.418542,63,599.037775
243.266415,127,602.000192
195.905267,92,604.30577
229.734659,111,606.837457
118.499213,74,608.292505
140.228593,69,609.727791
208.613052,101,611.790237
222.697056,99,614.002314
168.692794,80,615.609272
194.186716,103,617.717824
120.934134,64,618.944953
214.928814,92,621.089415
207.384852,96,623.181514
200.026469,88,624.908581
99.01884,56,626.553386
197.889606,96,628.472204
48.003102,29,629.115778
49.002423,29,629.651443
30.765219,27,630.131539
171.06246,81,631.806467
149.814532,74,633.569186
220.179055,99,635.655857
204.30006,91,637.729446
226.367202,101,639.961283
229.857383,121,647.873942
213.937202,97,649.960449
58.181886,35,650.697166
154.411023,74,652.49383
204.254842,92,654.666899
183.480588,84,656.373469
185.047911,84,658.406376
219.200723,96,660.698386
195.805258,88,662.615681
193.618695,87,664.224225
75.50671,44,665.384098
208.373313,92,667.648037
207.621134,96,669.70139
211.582011,92,671.933139
207.013983,93,674.117551
210.114692,92,676.11552
220.591896,95,678.406316
203.202099,90,680.48535
206.756038,92,682.147019
220.745126,101,684.585348
217.593354,97,686.405026
62.342585,37,687.409172
198.339305,89,689.438285
169.763014,78,690.576397
213.364066,94,700.317527
221.834743,108,702.717266
79.620674,47,703.828015
209.781216,93,705.989659
211.316784,94,708.242201
245.529306,115,710.731787
210.3924,93,712.651999
215.295622,94,714.480423
201.727297,88,716.384007
215.992846,95,718.400809
200.542561,92,720.838389
213.345692,94,723.259466
209.15464,96,725.514015
209.295909,93,727.741132
210.011115,93,730.122207
220.993511,97,732.613833
202.328844,90,734.702265
197.797329,88,736.813956
213.754748,95,739.076603
184.266138,84,741.18076
207.001441,93,743.120729
66.556014,40,743.897164
212.523347,94,746.240382
213.379411,94,755.001605
207.239646,94,757.129441
53.678008,33,757.84891
199.804205,88,759.808785
205.242623,91,761.96185
210.462783,92,764.200682
197.621983,89,766.404354
202.946079,91,768.875374
210.457781,94,771.183631
211.132551,93,773.618912
200.823709,90,776.221121
220.837024,99,778.537614
219.029533,96,780.749434
205.883125,91,782.238294
208.371004,90,784.059868
219.257747,99,786.138457
207.895037,91,787.720684
206.168486,93,789.543288
214.057833,93,791.032769
210.045182,91,792.705841
214.464963,94,794.869883
214.342207,95,797.009817
226.865693,98,803.97747
202.3962,91,805.786767
190.167264,85,807.890681
217.56519,95,809.850427
207.946299,92,811.984477
213.004357,94,814.219801
202.320538,90,816.449531
213.263121,93,818.768787
209.721719,92,820.917471
219.706039,97,822.807953
190.786229,86,824.670394
187.918457,84,826.546677
201.75534,89,828.577447
211.685255,94,830.872291
211.091798,94,833.162627
209.026916,94,835.031159
208.206657,93,836.871302
203.306195,89,839.100595
192.125667,88,840.995559
210.917532,94,842.870061
206.425258,92,844.939014
213.910433,93,847.190764
195.67059,87,849.140841
210.754136,92,857.719886
202.036383,90,859.554701
194.2747,87,861.602378
217.036707,95,863.737201
187.955245,84,866.035101
201.779334,89,868.328221
198.025071,89,870.186889
202.366041,90,872.16217
203.947613,90,873.989101
203.095501,89,876.008867
198.747846,89,877.945813
206.779644,91,879.934732
217.835369,95,881.955345
207.87747,92,883.794003
207.122813,90,885.82093
191.657517,86,887.92168
214.076674,93,890.451612
213.291347,93,892.518651
176.244717,83,894.369439
200.036298,91,896.883626
