# {"t_start": 1596282188.6493082, "env_id": "Hopper-v2"} 
r,l,t
9.46402,12,6.829989
7.530047,12,9.727155
13.962064,34,18.302819
7.749518,11,20.939453
15.378346,27,27.244244
12.128254,14,30.949998
15.877492,16,34.786138
10.008625,18,39.499833
5.851142,13,42.567328
15.028161,34,50.395669
7.859239,14,53.464398
8.349925,12,56.471238
7.770848,17,60.791993
7.497982,15,64.254195
21.090735,23,70.045818
54.075972,46,80.648386
6.288628,11,83.311702
7.075894,24,89.310133
7.147916,11,92.22227
16.416158,18,96.030028
11.696314,13,99.187516
9.869948,18,103.818158
12.823806,17,108.454279
28.542982,29,115.805954
7.937719,21,120.560036
8.548149,10,123.090297
21.21026,32,131.03002
8.986531,12,133.635458
11.084709,16,137.914695
16.199511,17,141.561166
6.64565,12,144.41642
9.897026,25,149.878202
10.098276,20,154.931078
10.826748,26,161.665865
10.257192,15,165.342285
12.402889,14,168.556765
9.424457,14,171.475308
9.132847,14,174.888556
11.127081,27,182.054575
17.590534,23,187.310056
11.55457,33,195.392657
12.573005,30,203.07155
10.46279,27,209.021971
9.688445,22,214.510021
7.61606,9,216.450306
16.737487,19,220.501606
6.422212,9,222.585874
8.345668,12,225.624242
12.761255,19,230.304117
7.564846,13,233.258029
6.199222,9,235.485753
24.374482,43,246.705309
16.486313,23,247.278701
28.861114,29,247.966617
23.343142,24,248.664195
7.713972,16,248.972788
7.775279,11,249.349738
15.590549,21,249.775842
5.785014,9,249.899194
10.833983,14,250.187432
36.634402,30,250.988928
21.794647,27,251.519171
9.207965,10,251.705925
10.186231,29,252.164076
12.074999,29,252.719086
4.946063,9,253.014901
9.078072,11,253.252329
8.939539,11,253.589145
17.930822,19,254.041037
11.298728,20,254.497091
26.922256,28,255.215942
36.78128,30,255.913813
13.580418,17,256.314879
12.025416,15,256.656731
6.201384,10,256.87646
13.759137,20,257.441402
15.683458,32,258.109874
6.524566,14,258.403124
11.48291,14,258.763278
10.414252,16,259.221002
34.476649,25,259.87967
82.852203,50,260.906164
7.409012,11,261.150953
7.297826,14,261.652619
8.5667,11,261.834799
5.397721,8,262.02663
10.998894,14,262.367883
14.449155,17,262.828136
5.899941,13,263.13171
6.474225,9,263.341199
6.088128,8,263.539613
34.498036,29,264.274656
15.703131,22,264.768905
20.335487,22,265.235514
9.293162,14,265.494985
10.592397,15,265.934435
11.681646,17,266.256314
12.861256,18,266.649156
3.770026,18,267.052923
13.087371,14,267.417816
9.936945,20,267.785443
23.25528,24,268.368629
60.799257,65,269.839633
9.563512,20,270.390087
43.797587,33,281.876205
17.957417,25,282.414588
8.066099,17,282.794319
10.43789,12,283.071233
8.684273,11,283.468894
19.66066,18,283.918444
87.288276,58,285.530008
17.555154,17,285.91556
117.223927,85,288.018836
23.443195,31,288.78128
23.952684,24,289.354549
7.68394,11,289.631325
29.023572,41,290.6959
15.864216,31,291.367203
27.085906,27,291.674034
8.52881,24,292.225023
40.503448,49,293.20849
7.799125,10,293.470886
15.831423,22,293.982492
12.381979,20,294.577722
20.154093,19,295.124679
27.295299,25,295.430793
12.748306,16,295.611985
15.27842,33,296.080274
16.672673,17,296.476846
10.123638,20,296.91006
18.743674,22,297.680465
12.231529,15,298.018862
13.770542,15,298.372491
35.908598,27,298.99002
7.140373,11,299.291846
34.057808,28,300.101245
54.142454,33,300.942327
29.904158,37,301.883884
8.503639,12,302.15874
76.085685,45,303.046567
60.903084,47,304.11479
6.048314,12,304.408462
20.043457,19,304.770587
8.865182,10,304.981271
17.046226,20,305.452935
6.051753,12,305.688099
12.207896,18,306.063411
7.958566,24,306.337876
17.64524,17,306.751359
7.425214,17,307.295435
7.137336,17,307.681844
22.317084,21,308.101837
14.815899,16,308.543785
33.507857,27,308.990041
6.149122,9,309.175943
19.187693,19,309.603808
9.352635,11,309.869058
9.552773,25,310.110497
5.900979,8,310.208762
8.237854,10,310.333594
12.922177,18,310.592564
14.833023,15,310.832561
15.757995,16,311.066951
23.702497,31,311.717103
9.459316,18,312.145323
39.983612,36,312.846733
11.49287,13,313.16303
22.607626,36,313.969696
58.645148,46,314.947921
9.914809,15,315.222448
40.883111,37,315.786438
9.102688,14,316.202922
39.762371,33,316.845974
13.670944,16,317.064638
104.744492,69,318.617246
28.13948,32,319.523745
22.1494,19,320.032082
45.036107,46,321.255343
31.65026,31,321.839112
12.805138,30,322.336335
10.65459,12,322.680546
26.449899,24,323.339293
21.669212,27,323.947327
17.191079,24,324.264478
14.00231,16,324.45008
12.383904,17,324.814382
33.881132,41,326.106528
13.283378,38,327.009894
130.084372,68,334.681103
28.223458,26,335.177528
42.002952,34,335.894423
12.66162,18,336.268157
17.614569,20,336.732626
20.841176,31,337.418569
