eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
18.61,14.409857549999996,7,0.007943269,0.10478516,4.2575464,-0.014599296,0.7427997,-0.43968379497528076,1,2048,276.9325112990009,2048
24.38,23.107832149999993,39,0.00903403,0.119140625,4.2299438,-0.018166427,0.5471146,-0.02150857448577881,2,4096,328.5853193670009,4096
32.65,39.50362287,37,0.010648714,0.16152343,4.1768303,-0.02404148,0.35677162,0.16064924001693726,3,6144,382.75426907800284,6144
43.77,66.17896258,39,0.011613133,0.1463379,4.142518,-0.0244499,0.21479228,0.085316002368927,4,8192,435.13629754000067,8192
55.11,92.11609863,42,0.010136667,0.13828126,4.1255064,-0.022231523,0.15873387,0.199174702167511,5,10240,483.58835334200194,10240
64.01,116.03383414000001,39,0.009282874,0.12783203,4.1053224,-0.020291368,0.13498099,0.19838392734527588,6,12288,535.3133297660024,12288
70.51,136.18398297,41,0.009029705,0.12578125,4.108464,-0.018417016,0.10793672,0.44559788703918457,7,14336,584.9470087250011,14336
74.86,151.64046714000003,41,0.008347494,0.115039065,4.1150165,-0.017969161,0.10608417,0.41012489795684814,8,16384,634.1026053669993,16384
78.22,164.43008887,37,0.008628529,0.10981445,4.107956,-0.015493497,0.07784998,0.6235968470573425,9,18432,688.751931097002,18432
83.57,181.56687634,38,0.0077415863,0.10668945,4.0899806,-0.013471963,0.028595924,0.8374098986387253,10,20480,741.9704634840018,20480
85.46,188.58281338,38,0.007096119,0.088378906,4.056194,-0.013002753,0.025311325,0.8740995973348618,11,22528,794.8919229610001,22528
89.08,199.01652485000002,40,0.007188271,0.08867188,4.0120716,-0.011192661,0.008750018,0.9317933768033981,12,24576,844.980486982,24576
93.69,211.89860247000001,39,0.0075986073,0.10092773,3.981189,-0.01017989,0.0039793844,0.9626626037061214,13,26624,896.8227654319999,26624
96.17,218.68122389,40,0.006023127,0.07324219,3.9598534,-0.00864572,0.0022021018,0.9809603169560432,14,28672,947.2880847510023,28672
97.02,220.71150005999996,40,0.0069717923,0.08564453,3.9307182,-0.008845619,0.0016158205,0.9921082146465778,15,30720,997.6694431860014,30720
98.16,224.01111018000003,39,0.007437629,0.09580078,3.9005475,-0.011258506,0.0012938874,0.9955264432355762,16,32768,1050.0643590310028,32768
99.21,227.19989412000004,40,0.00962808,0.12861328,3.8665078,-0.015713036,0.0016582398,0.9940808545798063,17,34816,1100.2104059810008,34816
100.23,230.48800044999996,39,0.009133052,0.12333985,3.827086,-0.015667243,0.0016242225,0.9947367492131889,18,36864,1152.4318455630018,36864
101.27,234.04709893999998,39,0.007860966,0.105371095,3.804927,-0.013993867,0.0022537708,0.9925574171356857,19,38912,1204.4229542409994,38912
102.4,238.09784081000006,40,0.010162821,0.13764648,3.764485,-0.018530445,0.002764012,0.9901301739737391,20,40960,1254.6373593919998,40960
103.89,243.72358382,38,0.011664128,0.14360352,3.711187,-0.019333065,0.0042189583,0.9869751064106822,21,43008,1307.653006028002,43008
105.69,250.58260544,39,0.007931781,0.10415039,3.6797402,-0.012314652,0.004112871,0.9834127631038427,22,45056,1359.6589919319995,45056
107.93,259.78187421,42,0.0104222195,0.14042969,3.6645236,-0.018400665,0.0058182394,0.9803621750324965,23,47104,1408.2856683060018,47104
110.26,269.40185313000006,39,0.00868598,0.115478516,3.6451306,-0.013846165,0.0050418815,0.9816637597978115,24,49152,1459.9827101670016,49152
113.01,281.2984597899999,43,0.008171016,0.10942383,3.6104686,-0.013583867,0.004458788,0.9779434129595757,25,51200,1507.4982540920028,51200
115.95,294.06858353,40,0.008951685,0.1194336,3.5907047,-0.014313112,0.0040531782,0.9854541029781103,26,53248,1558.6172591680006,53248
118.8,307.00971796,38,0.009830186,0.12910156,3.5787354,-0.014854771,0.0023693813,0.9900078009814024,27,55296,1611.5664554070026,55296
121.38,319.72349936,40,0.010118026,0.13637695,3.5401871,-0.015370357,0.0023243441,0.9923854419030249,28,57344,1662.2167828849997,57344
123.49,330.07487935999995,42,0.009360998,0.125,3.4847515,-0.01206162,0.0027691752,0.9915371593087912,29,59392,1710.9004498310023,59392
125.8,341.10135002000004,37,0.008540465,0.1109375,3.4465134,-0.0147891,0.0019143231,0.99395402520895,30,61440,1765.5322341900028,61440
127.61,350.08289417,39,0.010172414,0.13842773,3.4161682,-0.015169954,0.0021204047,0.9937435509636998,31,63488,1817.1769167800012,63488
129.1,357.9267833,39,0.008756505,0.12016602,3.3819957,-0.013402693,0.0009794589,0.9956116322427988,32,65536,1869.0015069850015,65536
131.04,366.62931406999996,40,0.010671919,0.14614257,3.3973453,-0.01766524,0.0012965502,0.9957223446108401,33,67584,1919.7568873700002,67584
132.75,374.18397059,39,0.008900836,0.11616211,3.3985791,-0.013219601,0.00095466495,0.9972423994913697,34,69632,1971.452851342001,69632
134.33,380.34299020000003,41,0.0090964055,0.12382813,3.3813133,-0.01261841,0.0007859937,0.9970712154172361,35,71680,2020.529224228001,71680
135.9,387.21228614000006,38,0.009058734,0.1125,3.3569646,-0.012904495,0.00063697563,0.9983421515207738,36,73728,2073.555040440002,73728
137.46,393.09603295,40,0.009168157,0.11948242,3.3439136,-0.013884699,0.00045522428,0.9987156226998195,37,75776,2124.088493880001,75776
138.69,396.90432933999995,40,0.008561364,0.10839844,3.3207688,-0.012351256,0.0005311139,0.9983807146782055,38,77824,2174.4272241239996,77824
139.81,401.0274409,40,0.008384543,0.11240234,3.281077,-0.013138533,0.00036518622,0.9988596166949719,39,79872,2224.7683467669995,79872
141.15,405.48060732000005,38,0.008301478,0.11616211,3.257274,-0.009820413,0.0003088478,0.9989788518287241,40,81920,2278.030256512,81920
142.29,409.17543199999994,38,0.008734306,0.117529295,3.2282348,-0.011961987,0.00025515613,0.999228720087558,41,83968,2331.4564157410023,83968
143.33,413.28020967999987,39,0.0097111445,0.12915039,3.1972344,-0.014788392,0.00027904514,0.9992964332923293,42,86016,2382.6591272940022,86016
144.26,416.14147551,38,0.010009756,0.13022462,3.207985,-0.009968741,0.00051223655,0.9977297887671739,43,88064,2435.752465695001,88064
145.09,418.9037073,39,0.008028279,0.1065918,3.2161317,-0.0114572495,0.00037241064,0.9989356729201972,44,90112,2487.7613189300027,90112
145.81,421.44719514,37,0.007491944,0.10219727,3.2029908,-0.010501396,0.00035398963,0.9989703163737431,45,92160,2541.812998272002,92160
146.62,423.79151734,39,0.0086474465,0.114550784,3.1781192,-0.012741925,0.00038226563,0.9989190520718694,46,94208,2593.120503929,94208
147.64,426.95666900000003,41,0.008912277,0.1149414,3.1688092,-0.009922685,0.0014542944,0.9919792013242841,47,96256,2642.8355213700015,96256
148.49,428.99513297000004,40,0.0105014425,0.1347168,3.1547809,-0.0138487425,0.00078135944,0.996986796380952,48,98304,2693.067118768002,98304
150.09,434.1476540399999,15,0.008930731,0.109472655,3.0936928,-0.012385008,0.0011493557,0.9937743777409196,49,100352,2826.177037595,100352
153.5,446.7635325,10,0.00881399,0.1149414,3.0298696,-0.0085031595,0.0031708926,0.9776910413056612,50,102400,3028.4133139749974,102400
158.16,464.50816040000007,39,0.0070898808,0.08891602,3.0019336,-0.010540767,0.002054038,0.9851324716582894,51,104448,3079.698230479,104448
161.56,477.48844211000005,39,0.008908158,0.11850586,2.9849617,-0.01258879,0.0019498887,0.9903458692133427,52,106496,3132.0592775480036,106496
165.98,494.33526062000004,40,0.009863041,0.13295898,2.9513943,-0.012881048,0.0019963982,0.9889045236632228,53,108544,3182.3968973880037,108544
169.9,509.22047718,39,0.01060828,0.13139649,2.927736,-0.01322663,0.002363211,0.9901672983542085,54,110592,3233.811744341998,110592
174.32,526.11088709,37,0.010460528,0.13710937,2.9142592,-0.012856079,0.0018417046,0.9935271996073425,55,112640,3289.005579714998,112640
178.87,543.70019333,39,0.010122812,0.14433594,2.90641,-0.013841925,0.0011788749,0.9936736803501844,56,114688,3340.581899828001,114688
183.77,563.58686813,37,0.009809519,0.13759765,2.9176848,-0.016631495,0.00066748384,0.9974779742769897,57,116736,3394.552761320003,116736
188.26,580.1389728,40,0.0074551166,0.093408205,2.9229708,-0.008578685,0.0009451819,0.9956519370898604,58,118784,3444.9758677610007,118784
191.47,592.15854698,38,0.009136428,0.123291016,2.9183285,-0.013900802,0.0009990891,0.9960385612212121,59,120832,3497.9322382690007,120832
193.28,598.9235905400001,39,0.007840281,0.10336914,2.9141388,-0.010508507,0.0005967017,0.9980616064276546,60,122880,3550.053288889998,122880
194.81,604.81090375,41,0.010099631,0.14106445,2.89583,-0.01603645,0.0005893775,0.9981960245640948,61,124928,3599.435713072002,124928
197.84,615.92433698,40,0.008977641,0.12475586,2.8715363,-0.011783151,0.0008361658,0.9953324496746063,62,126976,3649.5779443690044,126976
200.62,626.2615824000001,39,0.009894179,0.14101562,2.8558564,-0.012789093,0.0006236429,0.9976432444527745,63,129024,3701.461780742,129024
203.51,636.45596099,38,0.009502629,0.12470703,2.8107772,-0.012982058,0.00041417903,0.9985510719707236,64,131072,3754.3236730670033,131072
205.92,644.3130209400001,41,0.008421346,0.10991211,2.7767777,-0.013070134,0.0007256852,0.9976210438180715,65,133120,3803.7950124920026,133120
207.92,650.9209021,41,0.0099344645,0.13803712,2.7763906,-0.014159384,0.00071142975,0.9974849980790168,66,135168,3853.3103341399983,135168
209.77,655.84069619,41,0.011698416,0.14682618,2.7764044,-0.013318452,0.00071873784,0.9972253812011331,67,137216,3902.7499293090004,137216
211.81,661.17644013,39,0.00972977,0.13388672,2.7598195,-0.012308201,0.0005951977,0.9959455882199109,68,139264,3954.0914768930015,139264
214.06,667.11231631,39,0.009837993,0.12866211,2.7298868,-0.016110215,0.00084387243,0.9964402876794338,69,141312,4006.5996333919975,141312
216.99,675.4201622500001,39,0.00996914,0.13227539,2.7090764,-0.015874181,0.0008354327,0.9968211867380887,70,143360,4058.8991257310045,143360
220.14,684.0663294999999,38,0.009651772,0.12739258,2.700426,-0.014117206,0.0011806649,0.9949586768634617,71,145408,4111.534699096999,145408
223.87,695.4378960099999,38,0.0085984245,0.115722656,2.7034438,-0.011549022,0.0008127273,0.9968361901119351,72,147456,4165.328169166001,147456
227.41,706.1461139999999,39,0.010302153,0.14448242,2.703495,-0.0112605225,0.0006762299,0.9964852235279977,73,149504,4217.6565124820045,149504
230.86,717.1307690099999,38,0.0075224503,0.10131836,2.704722,-0.009498022,0.00068517117,0.9973718267865479,74,151552,4271.012513975998,151552
234.92,730.01128637,37,0.011159828,0.15556641,2.6974049,-0.016792726,0.0010886358,0.9955979129299521,75,153600,4326.214131143999,153600
238.77,742.85453941,39,0.010120002,0.13647461,2.672078,-0.012984388,0.00069847645,0.9971442737150937,76,155648,4378.278038080003,155648
243.54,758.4304354600001,40,0.011835355,0.16201171,2.6545985,-0.017605111,0.00083461666,0.9971815522294492,77,157696,4429.0671014280015,157696
248.04,772.9446743100001,39,0.0108087715,0.13671875,2.6373034,-0.015124244,0.0005825139,0.9970471400301903,78,159744,4481.484773103999,159744
253.29,790.1899247900001,40,0.010456493,0.1439453,2.6263726,-0.015421258,0.00043164217,0.9974511147011071,79,161792,4532.083696162001,161792
258.82,808.40833031,39,0.0074138725,0.09379883,2.6307733,-0.009429366,0.0005081729,0.9975580302998424,80,163840,4584.414186244001,163840
263.21,822.7761335499999,40,0.0074696555,0.09672852,2.634584,-0.009182933,0.00045700758,0.9977079927921295,81,165888,4634.645268307999,165888
267.99,839.0371004900001,39,0.009159041,0.1116211,2.6295738,-0.013338362,0.0003663349,0.998459123657085,82,167936,4686.285284794001,167936
271.88,851.2755668300001,37,0.00957548,0.12402344,2.614866,-0.012437565,0.00040110474,0.9980175059754401,83,169984,4741.067663173002,169984
277.51,870.16937058,40,0.010329896,0.13769531,2.5921345,-0.01541688,0.00052077445,0.9975694268941879,84,172032,4791.540512059,172032
281.51,883.64091862,41,0.008890907,0.11611328,2.584289,-0.012057758,0.0003322874,0.9985122428042814,85,174080,4841.325682814,174080
284.98,894.4256672900001,38,0.009925122,0.13266602,2.580523,-0.012228889,0.00045353165,0.9979655973147601,86,176128,4894.479005473004,176128
288.19,905.0128026100002,36,0.009694884,0.12871094,2.5781724,-0.011681803,0.00026845536,0.9990552767412737,87,178176,4950.419175123003,178176
292.26,917.4763239399998,36,0.0110266,0.13359375,2.5725713,-0.014451723,0.0004985111,0.9978999656159431,88,180224,5006.366752195005,180224
