# {"t_start": 1596309708.7239087, "env_id": "Hopper-v2"} 
r,l,t
15.541659,20,6.511419
11.279886,14,8.983359
8.085082,10,11.587806
8.373759,13,15.109509
6.509419,9,17.396144
25.509906,23,22.936575
10.308664,15,26.41559
6.442137,10,28.690052
8.360429,16,32.998142
9.026573,10,35.743819
10.030106,11,38.319937
19.618567,20,42.970832
7.202126,14,46.719647
10.667475,14,49.939451
4.068024,23,55.006319
8.996376,15,58.859856
10.309437,14,62.158899
16.976213,21,67.127557
15.899618,18,71.434891
6.22583,26,77.365798
10.142787,12,80.082764
32.401078,27,86.276854
12.095531,19,91.037619
9.466058,13,93.715541
6.000211,13,96.467328
12.506978,14,100.043495
6.622729,15,103.840851
10.668177,17,107.858345
6.900447,13,110.754632
5.108485,19,115.902832
6.127107,16,120.141524
16.311005,24,126.05374
17.544889,17,130.215699
48.137102,37,139.901024
18.21141,26,146.568652
12.657431,18,150.123264
55.240934,46,160.598469
23.514539,22,166.262413
8.854337,12,169.371027
4.549346,13,172.060294
5.059119,16,176.668503
19.753312,23,182.46823
25.771884,32,190.244926
33.353925,42,200.79566
11.967569,15,204.417755
21.422688,20,209.770755
12.315926,28,217.526618
10.468657,12,220.261037
6.694416,9,222.704518
3.993028,10,225.396055
9.248771,15,229.245463
9.064498,15,232.992853
9.347621,21,238.322486
12.086556,26,244.260993
9.030866,20,246.803375
17.441309,19,247.103691
15.872936,17,247.38838
36.474666,48,248.553074
17.005417,17,248.907194
5.97805,8,249.092365
15.378433,18,249.481253
15.799295,16,249.806703
9.027293,11,250.057491
31.80504,26,250.649236
27.037041,29,251.317934
15.34402,20,251.651554
8.249094,12,251.848636
11.560239,13,252.032195
10.010266,15,252.332911
5.294832,10,252.661755
9.239798,19,253.037466
6.221124,9,253.259521
8.899838,15,253.633157
5.71619,7,253.801838
19.420142,24,254.330178
14.553283,17,254.801292
9.097739,12,255.09147
8.529975,11,255.342727
21.50125,19,255.787747
14.263322,16,256.035848
13.162661,20,256.311821
19.076776,29,257.022728
14.015139,17,257.339431
8.447573,11,257.687418
25.556769,21,258.142242
27.999711,26,258.80252
20.307521,19,259.250135
16.59494,15,259.467254
10.8246,13,259.565076
18.563037,19,259.764539
9.679766,11,259.89549
9.63606,12,259.988306
10.327499,13,260.087931
9.199429,15,260.221163
9.329917,12,260.334424
5.896679,10,260.469783
18.737561,31,261.039974
5.084628,9,261.312094
7.191859,10,261.497241
10.295259,12,261.763135
11.754773,18,262.19611
7.759391,19,262.575569
5.388373,18,262.995381
21.06192,25,263.761566
8.301846,16,264.139696
52.492404,44,265.238023
8.183454,10,265.597488
5.120939,9,265.708025
9.06095,19,266.119256
12.465113,17,266.508877
11.935781,22,266.969371
17.318701,17,267.371858
44.711744,46,268.40796
6.432794,12,280.197929
8.556274,14,280.559602
23.295082,27,281.19085
7.585173,10,281.444842
11.530405,21,281.849327
18.949638,18,282.162914
14.558695,23,282.61928
5.880563,9,282.785193
6.42744,14,283.156135
8.514703,11,283.366342
58.192662,41,284.069091
5.968673,8,284.217325
15.475203,44,285.139557
80.777101,59,286.275372
17.595329,20,286.743388
18.947286,20,287.382886
12.895588,24,287.912314
28.313118,30,288.267527
39.728986,34,289.277491
7.559356,13,289.668516
10.755856,20,289.959932
23.498234,21,290.593865
18.738598,18,291.057419
15.869474,28,291.850161
68.371908,42,292.211536
13.865076,22,292.417571
7.815134,10,292.532648
90.684618,55,293.54065
39.141409,29,294.16873
11.925431,20,294.447214
28.268339,23,294.820035
9.658099,13,295.157054
20.245075,42,296.126472
8.950442,14,296.372274
18.966674,20,296.778467
18.119322,18,297.237899
17.917331,18,297.678281
4.951558,8,297.862204
47.767592,64,299.436712
9.367106,15,299.788179
35.740153,31,300.603782
30.886949,37,301.497389
23.996949,21,301.909712
14.621509,16,302.201508
5.31341,13,302.644446
9.551327,13,302.831868
26.820744,23,303.258856
26.228382,30,303.950417
8.919876,16,304.325215
7.17034,11,304.629885
37.198806,51,305.83069
46.642069,36,306.722004
15.041362,31,307.642439
12.223465,18,308.158238
7.379684,9,308.269183
51.435281,55,309.380827
8.251762,12,309.55919
8.043025,14,309.863624
42.218616,38,310.717558
15.618654,29,311.456717
51.622941,41,312.364224
19.43553,30,313.111703
8.210908,14,313.534903
28.589075,33,314.227299
31.147152,30,314.900985
38.621395,39,315.824167
156.841758,79,317.515697
12.765444,13,318.003545
100.283197,62,319.730032
28.116549,31,320.309537
8.059259,11,320.472125
28.157418,24,321.031316
35.154727,44,321.754098
36.332779,31,322.473929
73.350525,48,323.023257
9.31724,14,323.211765
9.841532,12,323.506992
14.538712,17,323.803666
13.415146,17,324.104078
5.751533,8,331.751034
110.929399,62,333.207321
11.52844,13,333.437109
23.375596,23,333.944734
118.329579,76,335.761741
34.234928,43,336.694661
33.76502,36,337.605502
8.914623,10,337.802027
18.177973,30,338.39367
76.532411,51,339.499324
150.613437,87,341.268309
7.952505,9,341.459456
56.012077,40,342.328171
21.889156,24,342.815682
9.808761,17,343.184148
11.919549,13,343.455651
13.193037,15,343.757546
9.651479,13,344.09993
13.413781,17,344.435238
13.479888,15,344.738657
131.570482,83,346.547422
8.305848,11,346.748827
48.11891,50,348.046827
9.691797,17,348.532329
100.770955,56,350.130455
11.103042,15,350.558105
17.893341,18,350.967965
191.275968,100,353.382731
14.27252,16,353.78222
125.409274,66,355.456936
14.958841,21,355.926916
30.798982,27,356.587187
127.270778,66,358.186057
146.453578,77,359.895231
26.804522,23,360.458729
6.772645,18,360.844804
44.958303,39,361.762866
155.764796,110,364.247288
72.234233,69,365.770282
8.815048,11,365.945253
23.264903,22,366.424163
37.694857,56,367.62833
27.285761,23,368.180231
5.661742,11,368.42872
39.42666,31,369.0831
108.450459,59,370.247405
66.514616,47,371.22339
14.788821,18,371.593457
45.121187,34,372.457747
46.140007,49,373.483971
41.477341,35,374.369337
158.772049,79,375.952289
222.543261,120,386.44961
96.915828,53,387.776832
80.275885,46,388.866347
70.16429,41,389.936346
67.208255,41,390.705204
154.293208,86,392.603984
28.853487,28,393.264508
26.497386,23,393.81538
258.052993,128,397.01166
10.881586,15,397.351058
191.529192,95,399.373608
44.209451,36,399.990184
116.57893,79,401.828473
89.971252,55,403.277215
201.551094,106,405.783387
26.53262,25,406.286474
131.102774,73,408.37177
54.78405,42,409.7532
16.851652,16,409.886178
193.047748,109,411.488858
16.070401,21,411.883406
129.522337,66,413.217169
99.342133,55,414.327558
16.731157,18,414.64867
93.068569,54,415.717426
242.844649,131,418.767349
139.935039,74,420.24743
153.280805,80,421.777956
20.469178,24,422.415327
19.411123,17,422.714416
58.670853,36,423.504632
88.42577,51,424.629119
187.674553,93,426.759972
42.88285,32,427.392883
76.761422,44,428.395489
55.316758,47,429.553187
81.761197,47,430.569975
88.295056,60,438.858304
93.060246,62,440.071467
186.437017,89,441.13679
138.822118,82,442.671288
86.879076,54,443.553952
62.828256,40,444.405079
154.16249,85,446.400373
252.320279,136,448.788775
86.433368,51,449.806443
80.953359,53,450.852432
196.604692,92,452.572452
20.506497,20,453.043994
126.195172,88,454.587455
24.748362,20,455.083489
187.362993,91,457.304178
70.627069,43,458.218124
94.724067,54,459.473547
58.306636,42,460.436032
14.115004,13,460.706233
245.042686,123,463.300866
18.355349,18,463.774531
213.122994,114,466.335016
128.449606,75,468.423146
193.863342,90,469.785703
192.915172,94,470.932706
89.174042,51,471.551
75.235975,43,472.468726
221.191939,101,474.893628
87.687634,49,476.172273
197.853477,99,478.628915
210.78637,112,488.065047
65.70951,42,489.143604
195.585146,92,490.954254
165.468683,81,492.529658
79.394123,56,493.671833
158.120255,78,495.343139
144.445397,71,496.852179
220.233878,99,499.630497
103.747937,58,500.186543
203.559623,96,501.772808
172.225454,82,503.797039
166.400835,90,505.637449
104.151631,56,506.836692
223.359216,103,509.573175
88.04618,50,510.733559
209.761034,97,513.015539
60.972483,37,513.938672
238.602813,117,516.336337
100.086266,56,517.435863
156.275624,74,519.215179
107.564024,66,520.779467
101.325895,56,522.06036
215.762006,95,524.150917
61.299567,36,524.946502
62.559578,38,525.782343
106.387753,57,527.079592
218.450403,105,530.243816
244.320125,127,538.995032
225.76539,99,541.030983
81.492267,47,542.115349
85.193096,50,543.041146
197.038503,89,544.991534
234.254803,109,547.408953
88.456791,50,548.59631
227.823529,104,550.78234
171.54042,80,552.353688
218.136896,97,554.389427
54.411365,33,555.140234
217.924388,96,557.307326
222.441749,101,559.620497
223.429532,99,560.722257
219.964534,104,563.141553
220.551294,100,565.399663
75.346044,45,566.299296
231.61485,106,568.540211
178.23534,85,570.192003
214.170307,93,572.00535
104.527526,57,573.172515
85.536802,51,574.150707
73.07649,44,575.091174
213.463108,96,576.967351
144.906038,72,578.552161
216.052659,95,580.779861
215.46838,94,590.464472
77.508253,46,591.115852
221.751894,99,592.998432
218.049076,95,595.078318
67.864102,41,595.793854
165.666896,78,597.518152
230.684681,99,599.606099
175.355889,81,601.332352
200.58453,88,603.271537
222.282271,100,605.381957
194.108263,87,607.273979
213.238562,95,609.208209
224.514411,101,611.32132
138.642969,71,612.776713
185.842907,89,614.699121
77.075395,44,615.567283
68.432928,41,616.479487
62.302238,38,617.282279
157.536372,75,619.232638
164.849483,78,620.181737
201.298228,92,621.992622
154.353433,75,623.563835
61.365166,37,624.281265
62.434305,38,625.228969
223.673392,97,627.404431
191.316854,94,629.343371
121.807598,64,630.611958
197.131178,88,638.513526
218.359479,96,640.60992
229.23794,99,642.791466
219.652535,97,644.943678
217.951455,96,647.093006
52.474141,32,648.028439
114.204495,63,649.469287
219.365595,95,651.664351
221.112017,96,653.70178
202.735333,89,655.697053
231.381621,99,658.264781
215.012377,94,660.541926
63.735173,37,661.502671
73.211805,43,662.587215
224.752926,97,664.863018
103.195349,56,666.198894
226.556828,98,668.471282
222.445378,99,670.720428
125.450331,67,672.234985
206.092436,89,674.266811
206.740986,91,676.173137
158.942283,76,678.31566
218.871068,96,681.360983
203.981861,90,683.11413
220.521488,97,691.907387
224.344409,99,694.370982
216.037714,95,696.586266
214.678803,93,698.816402
228.779587,99,700.966471
222.926786,98,703.13161
222.430257,97,705.339004
219.021386,96,707.981931
227.006621,101,709.686717
228.848345,100,710.765035
220.506533,96,712.414156
212.571616,93,714.756231
211.348158,92,717.007638
215.801159,95,719.304754
216.396958,97,721.531561
229.262686,100,723.859947
204.960056,92,725.954134
212.386888,94,728.097426
214.940743,92,730.156796
204.332907,90,732.137403
202.032108,89,734.37965
228.825111,98,736.913092
223.789264,99,746.315704
224.859295,101,748.293983
215.026284,95,750.163768
219.651155,96,752.077261
216.144482,95,753.95308
217.897485,96,755.822746
63.695463,38,756.537677
222.262743,98,758.604466
210.705708,92,760.262375
225.811791,101,762.721301
227.111605,98,765.036127
209.086452,93,767.367933
224.949332,99,769.958836
206.822527,92,771.785342
209.178366,92,774.133813
216.343504,93,776.270849
225.803094,99,778.343776
213.015452,93,780.375862
217.957466,98,782.80602
224.916167,99,785.261852
225.323332,98,787.767881
216.331889,100,790.198272
227.693313,101,799.721324
223.061858,99,801.527939
209.688637,93,803.45388
225.445428,98,805.698812
230.95502,101,807.778354
223.116428,99,809.767583
207.238468,91,811.467747
230.860334,99,813.4753
201.707372,90,815.371297
222.228558,98,817.571537
225.576172,101,819.736253
220.467612,97,821.779462
215.172941,94,823.679862
201.914957,90,825.608717
226.262724,102,827.823071
221.024136,95,830.268933
223.964155,99,831.647723
209.115892,92,833.22024
218.184825,96,835.336776
216.86769,96,837.537296
224.498203,97,839.846856
214.820222,96,849.300098
229.726828,100,851.192857
213.952625,94,853.073134
218.782936,96,855.169572
217.753174,97,857.544429
222.225561,100,860.399349
222.717372,98,862.544033
217.859626,95,864.633251
220.055617,98,866.808951
221.350049,97,869.00582
218.458139,96,871.069478
222.917961,98,873.211478
218.619147,96,875.180049
218.93444,96,877.264958
221.135187,97,879.435516
220.71267,95,881.327499
220.555546,96,883.325776
219.867245,96,885.372711
235.666624,101,887.77331
236.073009,103,890.697221
217.617949,96,892.494922
226.438404,99,900.905861
223.041685,98,903.00094
220.787463,96,904.879547
223.569256,98,906.919171
228.518444,99,908.960787
226.684212,99,911.012796
230.978965,100,913.109254
224.102779,99,915.1274
224.883418,97,917.418996
224.221416,97,920.090481
226.471013,100,921.011682
228.523513,99,922.216574
221.903403,98,924.161571
224.169224,98,926.2674
223.963515,98,928.373957
228.112983,99,930.404983
226.89081,100,932.367399
215.241761,97,934.419538
216.072132,94,936.616391
221.505071,95,938.693081
222.272141,98,940.945855
229.105989,103,951.800106
221.638704,98,953.595313
230.38106,100,955.765539
228.412141,100,958.064691
232.222987,102,960.260751
226.289854,101,962.379709
233.149431,101,964.806816
229.810775,101,966.91522
223.758117,100,968.896371
225.956447,99,971.073444
227.313182,99,973.203255
236.435376,103,975.372937
219.593132,96,977.480959
225.409097,98,980.256734
222.710325,97,982.051675
230.940797,102,983.990501
221.857513,99,986.077882
229.65286,98,987.999066
225.695418,99,990.094034
230.406167,100,992.147746
229.372544,99,1000.905698
222.30995,96,1002.873527
216.341623,94,1004.823898
229.176316,102,1007.200649
228.148947,100,1009.779195
237.825424,105,1012.267359
223.30659,100,1014.484164
216.858573,95,1016.592181
235.311923,102,1018.77653
230.058174,100,1020.681674
225.152852,100,1023.010912
228.064052,101,1025.264407
241.083586,102,1027.539142
223.239545,98,1029.652931
221.834228,97,1031.854639
230.967037,101,1034.174822
222.528558,97,1036.162652
234.260691,101,1038.698807
231.032156,100,1041.295936
229.158471,99,1043.108303
217.031384,95,1045.040344
230.166713,100,1054.072517
240.263394,104,1056.377781
245.222327,105,1058.898158
236.881243,104,1060.954026
240.054118,103,1063.392933
229.632938,101,1065.686968
224.577513,98,1068.351927
235.468904,101,1071.276397
230.596578,102,1073.36063
245.240868,106,1075.448077
230.753662,101,1077.681961
250.377462,105,1079.821029
238.14711,103,1081.975679
225.152387,97,1084.020983
252.048141,104,1086.194436
237.003193,102,1088.378857
224.658583,98,1090.195429
232.981956,100,1092.351718
227.575719,100,1094.834029
219.730747,98,1097.159662
242.784887,103,1103.923285
226.607788,100,1106.272008
241.068561,104,1108.620204
235.039732,104,1110.863447
251.48464,105,1113.283413
261.813615,109,1115.514623
239.617831,102,1117.8872
256.608189,108,1120.323756
251.077516,106,1122.805932
228.638975,101,1125.103328
236.585976,102,1127.542735
233.638868,100,1130.23284
227.688888,99,1131.634474
228.30542,99,1133.829572
232.733747,100,1136.284157
231.411045,101,1138.608192
236.084634,103,1140.73128
240.539075,102,1142.933951
230.872344,100,1145.113137
236.991243,102,1147.300082
241.795007,103,1156.314247
229.103238,99,1159.218097
236.969949,102,1161.755715
254.653561,106,1164.049338
246.957624,105,1166.11735
234.55947,101,1168.145302
246.472262,105,1170.256533
251.216577,105,1172.56759
281.673892,114,1175.331233
263.239876,108,1177.844942
241.740648,106,1180.143448
236.58744,102,1182.236048
241.762053,103,1183.771764
232.215717,102,1185.920002
242.195122,104,1188.543542
231.002414,100,1190.199895
231.763583,100,1192.327174
238.520036,103,1195.032368
232.318648,100,1197.546307
229.14024,100,1199.637745
256.274999,108,1208.795165
258.64399,110,1211.267761
254.637737,108,1213.472127
257.879727,107,1215.716778
253.905305,107,1217.912027
246.359081,104,1220.757067
