# {"t_start": 1596309709.1412928, "env_id": "Hopper-v2"} 
r,l,t
8.681595,18,5.859386
18.957932,21,9.326072
7.997682,10,11.450455
16.397316,18,16.284159
6.444884,11,19.53273
17.849966,19,23.783842
9.231797,11,26.197591
14.081005,16,30.15801
6.674313,24,35.39277
8.244889,16,39.895886
62.303859,52,53.4109
12.034728,24,58.948148
17.558142,21,64.013283
6.313514,12,66.993683
11.090487,16,71.412517
12.175286,21,77.323189
7.212108,14,81.149759
10.009777,16,85.142619
28.02088,25,91.536691
6.207461,10,94.050463
6.447682,10,96.125819
4.842084,11,98.725576
12.954499,18,102.711356
39.402146,34,111.918868
11.263753,18,116.033801
19.080132,25,122.379647
16.18359,18,126.766019
7.072708,11,129.546702
4.937707,10,132.018154
7.486337,22,138.354104
13.163936,15,142.353026
7.159729,15,146.270176
12.293648,14,150.315827
11.392818,15,154.282626
6.203412,8,156.218179
12.84659,14,159.735376
21.768555,38,169.168949
13.648232,20,173.835513
10.500569,14,177.375759
10.581705,33,186.052137
20.617262,29,193.32523
21.503081,34,202.578057
9.079103,17,206.941563
4.869464,8,209.042115
15.571793,15,212.755013
23.9698,31,219.781429
7.61899,12,222.949971
18.93862,45,234.963099
9.129908,12,238.070146
5.375584,8,240.110157
14.993666,20,243.969507
5.610409,10,246.151926
14.020177,16,250.023746
7.851333,10,251.548292
9.762518,12,251.800265
7.407909,9,251.995177
8.989632,14,252.270067
34.259167,28,252.848688
13.075742,17,253.273687
8.5087,12,253.689643
9.188399,14,253.976253
17.351144,25,254.561999
59.587603,58,255.969368
5.137112,10,256.18359
8.834513,10,256.405869
17.162772,25,257.14113
6.055092,8,257.30286
20.551466,27,257.969993
7.209368,9,258.286677
13.420644,27,258.755913
11.937839,17,258.867264
29.397025,25,259.233297
7.034185,14,259.382266
6.162981,9,259.505923
15.744062,26,259.71751
7.048725,11,259.869197
8.325894,10,260.035127
12.5359,14,260.403139
9.617897,21,260.847115
9.215421,12,261.138837
13.156832,17,261.511794
11.530642,28,262.089271
6.652126,13,262.275255
7.435024,11,262.716279
17.520805,17,263.18903
5.147541,8,263.370993
16.540846,16,263.726049
4.591065,10,263.914085
8.619693,12,264.099155
8.398568,12,264.285189
71.539041,44,265.139304
8.589562,13,265.45147
42.88368,34,266.166046
3.665305,27,266.760648
11.776214,24,267.380586
13.882727,17,267.7257
12.38385,14,267.963855
34.162339,45,268.796013
8.255922,10,268.975144
8.299946,11,269.319337
75.311652,47,270.157809
8.915013,16,270.374111
11.232169,18,270.635903
8.846624,20,270.937053
10.793294,13,271.142183
14.524921,18,271.543669
28.395908,27,271.927787
10.3456,14,272.157111
46.983035,47,284.544093
10.050967,15,284.967108
30.822795,36,285.65959
10.782213,12,285.889988
14.03533,14,286.120769
12.493641,21,286.528059
13.055077,21,286.918603
27.607389,27,287.532434
7.102853,14,287.662815
36.875401,30,288.399983
11.680922,12,288.852139
118.165467,81,290.725633
12.634459,15,291.12397
10.470279,12,291.651963
8.819332,12,291.747268
13.953561,15,291.89012
9.412745,14,292.081533
71.87806,49,293.021465
17.945426,33,293.892021
28.02552,30,294.35012
36.129714,38,295.112304
60.621359,48,296.18966
8.573608,11,296.401941
8.911379,28,297.123554
7.736938,11,297.37625
11.748919,14,297.720255
11.768259,17,298.230793
6.582827,9,298.390862
10.44063,12,298.665889
5.621377,9,298.865783
69.787912,42,299.898984
11.217604,16,300.304652
4.690183,8,300.598599
13.60108,14,300.866768
53.33108,40,301.775841
85.267782,61,303.206576
