eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
19.82,16.22390652,7,0.0072101513,0.095898435,4.246872,-0.01462052,0.44640684,-0.4150102138519287,1,2048,279.0254247490011,2048
23.96,23.03320935999999,38,0.009658167,0.134375,4.230176,-0.021241192,0.33150017,-0.0005359649658203125,2,4096,332.272558607001,4096
30.34,36.28354718000001,39,0.01030749,0.1505371,4.1956053,-0.021990862,0.26673663,0.1782028079032898,3,6144,383.5700163820002,6144
40.57,58.083971299999995,39,0.010297376,0.15019532,4.178521,-0.023855431,0.24290483,0.2867686152458191,4,8192,435.317036466,8192
47.62,76.62261184,41,0.011421835,0.16450195,4.160427,-0.023532514,0.20747921,0.21076703071594238,5,10240,484.84630633399865,10240
57.64,103.38710799,41,0.009414903,0.13149413,4.1427374,-0.020276692,0.20006898,0.20157599449157715,6,12288,534.0199389119989,12288
64.23,124.29973082999999,39,0.009357912,0.12778321,4.1480374,-0.016721398,0.16214141,0.2560186982154846,7,14336,585.5762398730003,14336
73.48,150.7254103,42,0.0053549344,0.064453125,4.156478,-0.00751382,0.121011674,0.4000283479690552,8,16384,633.4308560850004,16384
79.36,169.45673317,41,0.008187262,0.10830078,4.1535325,-0.015250571,0.08809058,0.495197594165802,9,18432,683.153376481001,18432
83.82,183.62416957999997,39,0.005575317,0.070898436,4.155343,-0.007984761,0.04345562,0.7481427490711212,10,20480,735.2582588090008,20480
87.78,195.87421260999997,41,0.006333685,0.08095703,4.1444254,-0.010334488,0.03451869,0.8290073126554489,11,22528,784.6924398779993,22528
89.6,200.7526381,42,0.0063362704,0.080273435,4.12551,-0.008799511,0.014123919,0.9045506939291954,12,24576,832.9524755060011,24576
90.97,204.78906110000003,39,0.007293211,0.092236325,4.0930967,-0.00872515,0.0076914565,0.9418758377432823,13,26624,885.4300862470009,26624
92.28,208.68254119999997,40,0.00968469,0.13217774,4.0580325,-0.011610096,0.0035834908,0.9729803204536438,14,28672,935.3931068800011,28672
93.01,211.12657819,40,0.008704381,0.12211914,4.0387936,-0.010694204,0.0021952568,0.9862868506461382,15,30720,985.909526083,30720
93.38,212.46159108000003,41,0.008269915,0.111132815,4.0248394,-0.012651004,0.001654271,0.993800061289221,16,32768,1035.8069691300007,32768
94.34,214.90511113,41,0.00943773,0.13378906,3.989642,-0.016709238,0.0017553756,0.9943679310381413,17,34816,1085.1136491270008,34816
95.2,217.46458518999995,42,0.00852181,0.11645508,3.9609153,-0.016220698,0.0014234948,0.9957376890815794,18,36864,1133.4195282859982,36864
96.37,219.83998594000005,40,0.0085853515,0.11689453,3.940845,-0.013228451,0.0017429242,0.9932883004657924,19,38912,1183.4262904230018,38912
98.15,223.34140218999997,39,0.009706783,0.125,3.9227378,-0.015512827,0.0014669937,0.9936171513982117,20,40960,1235.5399944370001,40960
100.24,228.17887629,43,0.011028072,0.16098633,3.9192555,-0.021497335,0.0021690289,0.9921822706237435,21,43008,1282.1976948590018,43008
102.55,233.85617667999998,39,0.011496624,0.15703125,3.9086185,-0.022647629,0.0028989492,0.9900187188759446,22,45056,1333.6291196899983,45056
106.03,242.67693014,40,0.010001252,0.14052734,3.8978264,-0.019329369,0.004455346,0.9854600075632334,23,47104,1384.1294163249986,47104
109.6,253.10279251999998,40,0.009637045,0.1309082,3.8940208,-0.018016122,0.0059671076,0.9799796789884567,24,49152,1434.8848185069983,49152
113.68,264.5999654,41,0.011554845,0.1496582,3.8829072,-0.0190406,0.0038294636,0.9862293247133493,25,51200,1484.4383156629992,51200
118.23,277.74386785,41,0.006838585,0.083740234,3.8664677,-0.011439661,0.002466332,0.9876103680580854,26,53248,1533.9267746439982,53248
