# {"t_start": 1596309708.6075532, "env_id": "Hopper-v2"} 
r,l,t
90.71014,52,13.284085
10.809246,14,16.814991
5.057469,10,19.455929
13.090373,13,22.971188
10.675831,16,27.263791
6.072495,9,29.274796
53.39622,39,38.77537
11.271987,13,42.37385
7.438468,12,45.233733
9.85216,23,51.504342
5.331694,9,53.923165
23.871833,31,61.682764
7.932182,10,64.069404
10.168777,15,67.567981
21.924373,20,72.048817
15.903835,16,76.066041
10.15631,14,79.812374
5.881137,9,81.726981
65.217237,52,93.709871
8.524483,13,96.565369
6.871356,16,100.30253
49.17147,38,110.700699
8.539346,16,114.215827
7.357055,23,119.683084
10.043822,16,123.954409
6.149416,15,127.62773
11.443761,16,131.398691
21.703783,27,137.975232
14.146821,16,141.674259
8.129974,11,144.712618
9.060424,13,147.92031
24.689081,33,156.227813
8.17112,10,158.939377
15.632901,16,162.850888
11.411885,16,166.300397
11.064558,18,171.039773
8.943417,13,173.827665
5.134356,31,180.247242
9.508577,12,183.229295
6.564071,22,188.892223
17.702808,21,194.277117
13.487777,20,199.459554
61.847117,44,210.441705
16.209934,24,216.011805
8.179552,14,219.481178
12.097704,14,222.948785
13.903985,16,226.849697
7.23774,11,230.322903
7.482856,19,235.659976
24.903163,21,240.973152
10.494957,13,244.214918
19.557488,17,248.318387
7.4153,9,248.408664
8.430937,19,248.7156
37.128657,38,249.576203
9.956631,16,249.96411
27.387859,35,250.716071
9.297888,28,251.523254
9.598881,24,252.170745
91.551144,54,253.142095
47.13304,46,254.194951
14.158606,18,254.543859
7.470411,10,254.756052
22.488828,24,255.229433
13.814981,29,255.899182
59.561604,55,257.01782
17.246158,17,257.53273
35.872446,30,258.697473
13.460024,15,258.947863
8.550063,14,259.461771
6.936103,15,259.697258
5.763355,11,259.789855
19.729358,18,260.110282
6.718764,12,260.203498
17.45291,29,260.496642
25.744074,21,260.804176
6.33924,11,261.02503
8.83742,14,261.291823
9.744073,13,261.595262
13.471187,15,261.914488
21.200206,23,262.50806
8.540759,11,262.832937
6.815316,9,263.052868
9.246672,11,263.496933
5.714716,8,263.688815
11.684806,20,264.135247
7.91903,16,264.580438
19.720021,20,265.019747
7.184322,9,265.258104
36.782368,30,265.975044
9.515691,16,266.312329
44.602666,34,267.074518
8.341439,11,267.34551
32.304573,40,268.132775
11.181279,17,268.471691
9.232015,28,268.98855
5.904987,8,269.080841
8.930262,16,269.316201
5.903851,31,269.845214
13.423635,21,270.210304
7.563711,13,270.43095
20.131846,38,282.13957
21.12383,26,282.630122
22.475943,21,283.027932
27.561706,31,283.587945
10.905595,18,284.027787
18.476283,22,284.422178
55.508472,36,285.180609
41.81495,34,285.848011
47.848161,35,286.721277
15.94534,18,287.118097
21.530851,20,287.696228
49.432475,33,288.635962
12.854336,14,288.977733
5.342927,12,289.312767
13.547203,14,289.673798
19.837404,28,290.547609
17.283991,19,291.100451
6.073785,9,291.415669
5.763539,9,291.690206
12.029949,12,292.016829
22.24381,24,292.737707
46.134536,33,293.356824
8.289201,10,293.551035
16.451686,19,293.908577
30.837016,28,294.473656
7.527831,10,294.641321
122.231661,69,296.076636
7.937655,13,296.352852
64.637175,46,297.497254
17.391994,24,297.987167
11.443215,20,298.449167
13.678599,16,298.799621
8.128146,13,299.249876
5.562635,9,299.372012
35.43905,31,300.09167
20.331019,27,300.640756
18.745948,19,301.055225
81.760909,79,302.965164
6.061793,10,303.191804
36.350349,50,304.357334
12.321881,24,304.922214
9.037412,13,305.224676
45.65394,41,306.291609
10.702763,14,306.621947
14.248032,16,307.022264
32.515277,25,307.581454
57.329972,39,308.23179
23.785984,23,308.611575
20.301523,33,309.310031
17.860233,21,309.697344
26.201253,23,310.281774
8.071822,13,310.574424
6.917147,11,310.828723
7.386964,20,311.287807
24.03838,21,311.737554
14.250483,14,312.047457
38.504354,35,312.840135
8.759406,11,313.091909
15.00277,29,313.615714
47.180097,38,314.498001
16.71508,17,314.819295
22.705864,31,315.440325
12.402736,17,315.792266
22.550075,23,316.295435
14.418292,16,316.730216
7.108385,18,317.107784
17.859755,22,317.696449
8.861351,12,317.987364
9.932477,15,318.467062
11.856214,15,318.945613
12.257305,19,319.437054
9.680998,15,319.855794
66.837818,62,321.323231
16.064375,23,322.03217
8.080382,22,322.627312
7.370262,10,322.953424
33.495153,37,323.854606
5.721945,8,324.033521
140.096904,79,325.76662
14.01412,22,326.224387
91.53662,58,327.543834
28.335177,31,328.092007
12.767769,23,328.570229
7.48146,10,335.153815
56.750937,43,336.262777
204.079647,128,338.888256
21.300772,36,339.704697
18.593094,17,340.017728
28.70102,28,340.63041
213.768871,101,342.633137
18.987473,18,343.005399
7.109303,12,343.243858
16.144874,20,343.618289
96.357251,77,345.215181
20.068711,20,345.613262
117.139132,64,346.876693
87.589093,55,348.406794
115.746882,77,350.649889
151.056974,81,352.466174
8.750886,12,352.701875
17.259706,16,353.019581
32.56211,26,353.648584
19.268374,18,353.924877
29.298483,25,354.423397
33.936785,36,355.141751
7.275432,10,355.345578
18.296212,21,355.856949
23.337737,23,356.296277
37.441779,40,357.060998
8.278655,11,357.289694
18.829038,22,357.701016
58.814639,41,358.570187
9.559343,13,358.816555
9.62274,12,359.028959
49.729737,36,359.6901
18.222291,20,360.200158
8.037555,10,360.383601
50.512879,55,361.559828
39.924686,32,362.385495
14.224917,16,362.635314
175.154333,86,364.564534
20.682627,19,364.912391
10.14602,17,365.292517
76.868688,57,366.755703
88.057675,51,367.807821
17.747608,17,368.182811
23.825979,25,368.852996
8.411101,12,369.051569
50.385815,42,370.022575
16.687223,20,370.506547
43.560813,42,371.579744
42.30015,35,372.331991
9.086952,20,372.724973
89.167226,61,374.067633
83.709959,47,375.01213
25.189963,24,375.597749
48.126602,35,376.330663
37.227702,31,377.003664
17.288446,23,377.655232
7.680615,12,378.001392
22.381397,42,379.16548
11.228889,12,379.547755
85.831983,53,386.619029
123.996693,62,388.100957
