eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
21.389473684210525,19.634470568421055,7,0.0069004903,0.096875,4.2502837,-0.01421163,0.41703838,0.010189294815063477,1,2048,285.9691019639977,2048
20.78,18.577246340000002,39,0.013611408,0.19379883,4.207983,-0.025456373,0.06464646,0.2758897542953491,2,4096,337.6601133789991,4096
29.83,34.70311102,39,0.013164069,0.18330078,4.1805944,-0.028933952,0.2417082,0.2987492084503174,3,6144,389.83923407899783,6144
43.23,61.7343581,40,0.010203221,0.1397461,4.1633077,-0.020124089,0.26644188,0.2707785964012146,4,8192,440.4408758879981,8192
54.15,87.75842824,39,0.010211103,0.1440918,4.133942,-0.021668311,0.15894838,0.17778640985488892,5,10240,491.94569232999856,10240
67.06,121.67802633,40,0.009348793,0.13232422,4.1190233,-0.015752878,0.13228573,0.24703460931777954,6,12288,542.217128971999,12288
77.39,152.72556881,41,0.01027623,0.14262696,4.099021,-0.019281577,0.09202331,0.4593750834465027,7,14336,591.9685491279997,14336
82.68,170.80120477,40,0.0067569255,0.08989258,4.0810523,-0.01152647,0.06679717,0.5597398579120636,8,16384,642.224360704,16384
86.67,184.85577556999996,42,0.007469007,0.10249023,4.0627575,-0.013019526,0.036982857,0.7684905380010605,9,18432,690.4390947979991,18432
91.07,198.39267095,36,0.00591968,0.073876955,4.055944,-0.010417448,0.020704444,0.8640118688344955,10,20480,746.8079242319982,20480
93.02,205.16077993000002,40,0.009753586,0.14477539,4.0840864,-0.017120283,0.044994622,0.8109460324048996,11,22528,797.6425781830003,22528
94.95,212.29021765999997,40,0.0076798894,0.10517578,4.091817,-0.01275858,0.01114706,0.9462710283696651,12,24576,848.3777975849989,24576
98.51,223.65565533,41,0.009586364,0.12895508,4.063504,-0.018057054,0.026337737,0.9121201261878014,13,26624,897.9382677069989,26624
101.02,231.77008291000004,40,0.009491543,0.13408203,4.0390096,-0.020822044,0.021181406,0.9236168712377548,14,28672,948.8871376089992,28672
104.65,243.85302435000006,40,0.009825907,0.13544922,4.0051255,-0.014404041,0.019504473,0.9401825331151485,15,30720,999.6592145100003,30720
109.77,259.784569,39,0.008699084,0.12216797,3.9809678,-0.016516687,0.011232386,0.95997004956007,16,32768,1051.722963838998,32768
114.86,275.83761044,42,0.007671124,0.1003418,3.962165,-0.013231914,0.005953154,0.9686001725494862,17,34816,1100.163492492,34816
119.43,290.35140702,42,0.009398196,0.12402344,3.953566,-0.01722801,0.005256635,0.9763387758284807,18,36864,1148.887249006999,36864
123.52,303.84866588,39,0.008534236,0.119384766,3.9393055,-0.013973224,0.0041013574,0.983300318941474,19,38912,1200.3043428780002,38912
127.9,317.42804465999996,39,0.009527948,0.1270996,3.9141738,-0.015002675,0.0028913107,0.9897705698385835,20,40960,1252.5686527590005,40960
131.13,329.88807496000004,40,0.007465837,0.10209961,3.897316,-0.012021407,0.003973738,0.9851304907351732,21,43008,1303.295307684999,43008
134.49,341.9888140499999,40,0.008155689,0.109375,3.874379,-0.014040875,0.0031404872,0.9907751241698861,22,45056,1353.7473056140007,45056
136.48,349.27332041,40,0.0074017933,0.09296875,3.8707428,-0.015793683,0.00815559,0.9765623770654202,23,47104,1404.591091473998,47104
138.42,358.42764120999993,39,0.0075093536,0.09609375,3.854552,-0.011797833,0.0023538335,0.9925450957380235,24,49152,1455.8537728099982,49152
140.05,368.9141989700001,39,0.0082931295,0.106982425,3.8116078,-0.013247999,0.002617618,0.9891047393903136,25,51200,1508.1128435739993,51200
141.55,377.00716459,40,0.00746891,0.09995117,3.7846303,-0.012960808,0.002577918,0.9907623268663883,26,53248,1558.701191475,53248
142.99,387.2544870099999,39,0.008076537,0.10888672,3.7679667,-0.013940123,0.0016215729,0.9936502645723522,27,55296,1610.0403779810003,55296
