# {"t_start": 1596309709.815925, "env_id": "Hopper-v2"} 
r,l,t
10.932924,23,12.839402
7.706565,10,15.045652
16.409148,24,21.588511
30.825761,41,32.811135
9.352826,11,36.145656
12.980893,15,39.68775
15.215867,22,44.763131
79.187608,47,56.410091
7.107523,11,59.384886
49.771901,61,74.748641
11.941508,15,78.679421
41.918068,34,87.743161
5.336129,20,93.27041
62.305261,43,104.502472
11.653493,14,108.140435
9.081058,19,112.619177
48.263735,53,125.583079
13.395269,18,130.442823
16.439419,20,135.035041
6.201098,9,137.515405
11.042327,18,142.390579
14.072985,16,146.751634
6.16083,12,149.614227
9.09131,10,152.40143
14.160958,20,157.439389
4.918834,8,159.387549
6.772972,9,161.567786
9.21359,16,166.065193
8.837122,11,169.351485
8.974798,13,172.741281
11.097003,24,178.75848
10.775864,15,182.4937
14.853875,14,185.828181
10.378543,13,188.810756
8.655562,11,191.592046
28.324362,28,198.837951
21.596843,18,203.728235
9.239018,15,207.434468
6.611824,9,209.55174
17.20793,25,215.196868
39.45362,35,223.103396
5.89601,8,225.169139
9.942856,17,229.606996
249.373089,127,262.247803
9.439848,16,262.584271
24.986033,35,263.530788
9.818314,22,264.00365
23.846781,35,264.764786
30.15633,23,265.289913
5.889853,8,265.485324
7.409771,15,265.812492
7.927676,11,266.113496
13.280134,19,266.379342
35.821751,38,267.16361
5.895365,13,267.508732
55.53327,38,268.219971
90.055995,66,269.648779
14.129716,18,269.88256
9.577483,11,270.076667
60.935907,38,270.655824
5.948204,11,270.795439
19.486981,25,271.157789
12.549343,16,271.428254
6.810157,10,271.588402
8.421387,14,271.924005
11.416314,14,272.16156
7.406222,13,272.339657
10.110856,14,272.491539
12.766753,28,272.807688
32.944409,36,273.251433
14.456274,16,273.42361
10.718893,13,273.642307
7.355812,16,273.818763
16.122522,28,274.212374
7.281587,10,274.300861
13.404343,14,274.435799
6.842024,21,274.631165
8.706164,12,274.739725
12.682269,25,274.955403
38.323873,32,275.315612
6.795032,20,275.58089
8.213276,15,275.732177
6.746122,10,275.820383
11.372809,13,275.924113
8.769215,11,276.083722
24.412699,34,276.593995
