# {"t_start": 1597490725.95294, "env_id": "HopperBulletEnv-v0"} 
r,l,t
20.954951,11,3.138771
19.570466,18,3.715461
16.382711,6,3.919292
15.666134,5,4.100449
16.560677,17,4.808757
16.175249,10,5.205933
16.240403,9,5.70155
11.839751,13,6.329178
21.277169,16,6.972777
18.017218,8,7.300687
13.617465,6,7.57528
13.594555,6,7.811929
15.799381,12,8.409248
22.497717,12,8.931765
18.776509,13,9.595656
15.404116,13,10.167765
21.657465,13,10.711166
19.630823,6,10.976451
14.633149,11,11.457015
10.823693,16,12.152644
20.05569,17,12.863793
17.050791,10,13.348458
19.384284,11,13.795747
14.083934,12,14.339961
15.857993,12,14.966964
16.211685,6,15.380343
17.657428,9,15.746261
18.116054,11,16.206423
13.724805,7,16.490808
18.245844,11,17.019529
21.05879,15,17.654439
19.112204,7,17.952534
18.148584,8,18.275986
15.801608,6,18.527926
16.729947,13,19.123796
15.09867,10,19.545324
13.977826,11,20.022602
17.274213,19,20.852652
18.31517,8,21.218884
20.683248,10,21.677363
19.317381,10,22.110443
10.356772,17,23.004979
14.999804,10,23.42686
12.707876,8,23.762334
17.187311,10,24.251432
18.790284,8,24.629251
17.809082,9,25.006638
15.913581,7,25.35502
16.262807,12,25.865351
17.209801,10,26.290597
13.865171,6,26.559826
14.594418,13,27.107746
16.51238,6,27.365362
18.766555,13,27.928592
16.653938,5,28.158376
17.467178,8,28.523992
20.446105,9,28.995044
16.428333,12,29.527477
23.1389,13,30.099603
11.962437,7,30.397295
20.143937,14,31.159342
15.705473,10,31.626192
18.818048,10,32.074931
13.912866,7,32.369904
15.814366,7,32.675903
16.806217,6,32.932334
19.147471,10,33.395563
15.338548,11,33.866556
11.771493,15,35.248451
19.386253,20,36.603125
15.122216,6,36.957796
15.243908,9,37.362999
17.502113,10,37.805317
16.733743,16,38.532217
18.673346,11,39.008815
16.695186,10,39.499571
15.11973,9,39.90155
16.877353,40,41.613427
18.212154,6,41.901889
17.894258,10,42.296206
16.897307,7,42.596556
