# {"t_start": 1597490725.9526799, "env_id": "HopperBulletEnv-v0"} 
r,l,t
17.799448,9,3.07085
15.739396,5,3.213857
19.360749,17,3.766584
24.799383,28,4.861989
21.537466,15,5.542711
14.96915,12,6.187057
17.255848,9,6.581825
12.300769,13,7.068048
17.289508,7,7.413954
19.674139,14,7.997921
14.780009,15,8.697252
17.869922,14,9.358009
16.273156,12,9.946129
16.511202,10,10.376682
17.024046,19,11.178498
15.945212,6,11.463179
16.147597,7,11.756526
18.29447,6,12.019661
19.601821,10,12.423566
15.478205,7,12.717698
19.472427,8,13.042523
16.999567,9,13.423848
13.464723,7,13.716545
14.833461,13,14.287301
13.578873,9,14.744149
17.052921,7,15.161243
18.229277,6,15.489856
18.65569,12,15.969631
12.704897,12,16.485469
18.598793,15,17.200218
15.569883,10,17.640897
17.49064,8,17.979376
15.33716,12,18.48599
18.362211,8,18.883767
13.544236,23,19.845268
15.721303,15,20.504719
14.729037,9,20.903108
12.885507,8,21.262085
17.788197,12,21.804335
10.795999,9,22.193719
12.626196,9,22.738647
13.688145,15,23.408324
17.917488,7,23.717436
13.353296,7,24.024638
15.747685,7,24.405645
16.936746,13,24.948574
14.13573,10,25.428865
22.119087,13,25.971953
17.893959,14,26.576366
14.682776,25,27.634988
16.565032,10,28.082231
10.440434,18,28.973944
14.971582,14,29.594037
16.83743,7,29.912628
15.121493,12,30.421221
11.585173,16,31.294816
15.399824,15,31.97629
8.444605,13,32.545578
14.621019,18,33.342996
21.949901,10,33.768008
18.626558,8,34.160946
16.393975,7,35.014095
18.473041,14,36.190514
18.133031,8,36.617381
22.997752,14,37.331085
21.470741,13,37.909207
17.314446,13,38.494061
14.920514,6,38.767103
14.514708,13,39.360845
20.110598,12,39.899058
11.751883,15,40.546804
21.295254,20,41.386085
16.346475,5,41.621631
15.430423,7,41.95321
12.205676,14,42.528803
18.442706,12,43.043112
19.763362,20,43.86371
12.873614,9,44.233907
18.473523,10,44.652622
13.840113,8,45.011804
15.958631,15,45.637215
17.864184,11,46.094159
21.136251,28,47.273135
10.626634,13,47.792464
17.702356,15,48.234231
15.24415,11,48.259871
16.66961,11,48.286231
12.673516,16,48.323843
15.507581,7,48.342742
21.634916,9,48.380966
16.895298,25,48.484096
14.242868,7,48.49748
19.246907,9,48.512969
12.393731,6,48.523424
14.726162,19,48.557731
13.508697,5,48.567668
14.719885,13,48.591788
18.640793,8,48.607249
18.757696,14,48.631828
14.864933,9,48.648079
16.38284,5,48.657165
14.345837,5,48.66639
10.933856,12,48.687078
15.655262,8,48.701968
16.584729,7,48.714853
15.6314,8,48.729443
14.340939,10,48.747111
16.779502,6,48.758855
21.473714,17,48.789286
18.304564,14,48.81379
14.496793,11,48.832475
17.309165,8,48.8466
17.163362,9,48.864259
19.657475,10,48.882169
14.821312,19,48.916744
32.100057,46,48.997733
11.276786,11,49.017236
16.172549,11,49.036157
14.102331,13,49.063352
20.58967,9,49.080691
17.718087,8,49.095609
22.10092,12,49.119458
13.709168,13,49.143846
14.101362,11,49.163669
12.457062,7,49.176809
15.49941,19,49.210922
16.265177,6,49.221647
12.757538,16,49.259225
15.90383,10,49.277289
18.942923,8,49.292619
17.487661,10,49.310425
14.077149,12,49.335913
22.216829,28,49.385675
14.026191,9,49.401672
6.985373,10,49.419411
16.231377,8,49.433317
16.532941,6,49.444268
11.722167,13,49.467695
17.288926,12,49.488637
15.579265,11,49.51452
13.041492,28,49.588437
13.78728,11,49.60957
15.702918,7,49.621722
19.06327,13,49.644305
16.133889,8,49.658498
14.767904,9,49.674575
15.81423,10,49.692424
14.638889,13,49.714695
22.070772,15,49.740599
18.015052,7,49.752966
19.983262,9,49.769043
12.638324,8,49.78292
12.384826,12,49.803458
16.485644,6,49.814394
17.542153,9,49.830507
14.731882,17,49.861369
16.984169,12,49.894913
18.008924,8,49.909599
19.568848,9,49.926748
13.111435,13,49.949034
15.617082,15,49.974749
16.336393,10,49.99326
18.370164,22,50.032878
15.116627,19,50.066251
5.615701,20,50.104679
19.311484,16,50.139897
14.226597,9,50.167259
13.309818,7,50.184613
6.84802,11,50.210743
18.37992,9,50.232025
15.826301,6,50.243463
21.096108,8,50.258086
18.359535,13,50.282537
20.327341,15,51.175554
18.064385,8,51.19043
15.532637,10,51.208556
17.261895,6,51.219526
16.03638,8,51.233637
18.620483,7,51.247765
15.724068,15,51.275745
15.188512,15,51.304229
16.131801,10,51.323009
20.416074,26,51.37905
15.48207,8,51.393605
14.296549,6,51.405865
17.374745,7,51.421472
17.31853,12,51.44497
20.979084,12,51.467471
14.223894,25,51.520727
15.496767,12,51.543576
20.735519,9,51.560378
14.93505,6,51.572242
18.145753,6,51.586206
14.065752,6,51.598422
19.099786,9,51.615912
14.879994,9,51.632229
16.391795,5,51.642128
13.357693,9,51.658131
16.573425,5,51.667223
16.248502,7,51.679962
16.840172,8,51.694535
17.105539,13,51.718014
16.593822,13,51.741335
17.490465,10,51.760851
18.070565,12,51.785393
17.888704,8,51.801415
17.256804,7,51.814421
13.731569,8,51.831577
19.559887,15,51.861584
13.778587,9,51.877744
